beurs _(314,156)
lockheed _(150,61)
amsterdam _(307,156)
commissie donner(72,9)
wall street(112,107)
lockheed affaire(49,1)
19 19(102,155)
curt wr(55,36)
co _(56,121)
15 15(88,156)
amst ind(35,5)
26 26(81,155)
prins _(110,156)
am broadc(37,17)
am can(48,69)
canadese fondsen(43,25)
am cyan(41,33)
am st(41,96)
am home(44,32)
cat tract(30,4)
prins bernhard(68,72)
alcan _(45,28)
27 27(70,155)
25 25(69,156)
am nat(36,19)
am el(36,54)
am brands(36,26)
all pow(34,22)
23 am(40,81)
am motors(39,33)
contr _(31,5)
acf ind(38,26)
am tel(42,90)
25 comm.w(26,3)
cont tel(33,19)
am airl(27,13)
gas 25(31,26)
pow 23(27,9)
el pow(30,17)
manh 28(23,1)
colt ind(35,20)
comm.w ed(24,5)
23 23(59,155)
cont can(34,45)
ampco pitt(30,7)
28 28(55,155)
cons ed(33,37)
15 contr(27,14)
chrysler 19(25,9)
col gas(33,38)
eastm kod(28,24)
burl ind(28,21)
pitt 12(24,6)
19 ampco(24,4)
asarco 15(24,5)
chase manh(31,14)
nat res(30,20)
tel 15(26,52)
can pac(35,72)
st ine(29,10)
ine 19(23,9)
amf ine(29,16)
29 29(50,155)
ind 26(22,11)
dart ind(30,12)
25 am(30,89)
comm sat(27,14)
27 am(30,77)
32 32(48,155)
26 atl(22,11)
15 ashland(22,5)
cont oil(29,48)
can 32(22,16)
36 36(46,155)
armco st(29,25)
bethl st(29,49)
coca cola(35,68)
atl richf(26,19)
12 amst(28,97)
_ _(543,156)
eastern air(26,23)
34 34(45,155)
asa 15(18,1)
all chem(28,36)
35 am(27,76)
33 am(28,82)
19 citicorp(20,8)
epe int(26,14)
ashland oil(27,32)
26 burl(20,10)
33 33(44,155)
12 12(48,156)
18 18(47,155)
citicorp 30(18,3)
29 asa(20,7)
oil 26(23,34)
15 asarco(17,1)
home 33(19,4)
carling o'k(23,7)
new york(53,155)
chessie syst(24,7)
28 chessie(18,3)
cr zellerb(16,2)
ed 19(18,6)
30 cities(19,12)
york stock(23,36)
30 30(42,156)
ind 34(19,24)
du pont(33,153)
amerikaanse canadese(18,29)
19 cons(19,32)
12 am(23,90)
amerada 23(16,8)
ind 32(17,15)
39 39(36,154)
japanse aandelen(17,21)
34 am(22,81)
19 curt(17,11)
cities serv(25,58)
broadc 35(12,1)
22 22(37,155)
36 am(21,70)
36 all(15,13)
41 41(34,154)
17 17(37,156)
26 am(20,80)
45 45(33,155)
den uyl(33,76)
stock exchange(21,103)
23 epe(14,9)
32 cont(16,23)
dow chem(23,35)
canadese _(18,55)
pac 17(14,16)
rapport donner(13,1)
brands 41(15,17)
20 20(35,156)
15 curt(14,8)
29 cont(16,20)
onderzoek _(68,156)
steekpenningen _(21,67)
delmonte 28(14,4)
pow 19(13,8)
35 35(31,155)
16 16(33,155)
japanse indonesische(15,9)
60 ampex(13,5)
34 akzona(13,6)
59 ampex(12,4)
broadc 34(11,3)
16 alcan(13,7)
33 cont(14,23)
vs _(35,152)
42 42(29,154)
