ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
lockheedgeld,5,2.5803898525240107E-7,0.0050,1.3864894917961416E-5,14.242051425914816,8.494347602428977
ravensdale,3,1.5482339115144065E-7,0.0030,8.31893695077685E-6,14.242051425914813,8.494347602428977
lockheedgegevens,3,1.5482339115144065E-7,0.0030,8.31893695077685E-6,14.242051425914813,8.494347602428977
maroebeni,3,1.5482339115144065E-7,0.0030,8.31893695077685E-6,14.242051425914813,8.494347602428977
kotchian,8,4.6447017345432197E-7,0.0070,1.9410852885145984E-5,13.879481346530103,8.494347602428977
lockheed,418,5.6407322176174875E-5,0.416,0.0011535592571743898,12.848413458384002,8.494347602428977
besançon,3,2.9416444318773722E-6,0.0030,8.31893695077685E-6,9.994123912471228,8.494347602428977
vliegtuigfabrieken,3,3.7157613876345758E-6,0.0030,8.31893695077685E-6,9.657088925193655,8.494347602428977
brandschoon,3,5.728465472603304E-6,0.0030,8.31893695077685E-6,9.032598060285864,8.494347602428977
lockheedonderzoek,4,2.0643118820192087E-7,0.0040,1.1091915934369133E-5,14.242051425914815,8.494347602428975
lockheed's,2,1.0321559410096044E-7,0.0020,5.545957967184566E-6,14.242051425914815,8.494347602428975
lockheeddollars,2,1.0321559410096044E-7,0.0020,5.545957967184566E-6,14.242051425914815,8.494347602428975
lockheedellende,2,1.0321559410096044E-7,0.0020,5.545957967184566E-6,14.242051425914815,8.494347602428975
kodama's,2,1.0321559410096044E-7,0.0020,5.545957967184566E-6,14.242051425914815,8.494347602428975
nepzoöloog,2,1.0321559410096044E-7,0.0020,5.545957967184566E-6,14.242051425914815,8.494347602428975
lshiguro,2,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
holthrop,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
inzeemijnbouw,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
codeboek,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
exfunctionarissen,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
orions'besteld,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
jristars,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
document1,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
beschuidigden,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
ipgever,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
omkopingszaken,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
krabinetscommissie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
threatenns,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
scarcely,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
aandeelhouder:proces,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
supposedly,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
betalinge,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
viderzoekscommissie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
aalorders,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
wapenmagnaten,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
enaatscommissie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
beschoimirigen,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
scbandaa,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
oudemployee,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
wagenchauffeurs,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
wnstratie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
circumstantial,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
topmenseis,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
kroonoverleg,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
fokkerman,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
spionagetheorie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
amerikxaanse,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
orwderzoek,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
zoteken,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
eift,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
actut,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
herinif,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
jrende,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
iruma,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
eijiro,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
reyi,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
takase,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
toyoshima,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
parlèmentaire,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
tammenons,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
othulligen,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
poupette,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
spontini,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedomkopingszaak,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
uitsluitse,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
italìë,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedagent,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedbegunstigers,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
icomm.w,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
rnerek,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
39y4d,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
honeywom,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
niajj,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
ggeen,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
veduwen,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheeddirectie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedsleutelfiguur,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
fabrieksagenten,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedarrestaties,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
kamikazedreigement,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedbewijsstukken,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedorganisatie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
24yi,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
sunoh,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
transaeties,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
loekheeddocumenten,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
evestingd,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
inbod,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
ploetsj,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
betalingsinstructies,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheeden,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
overspelroddels,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
mentenprogramma,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
sockheed,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedrestatie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
uchtmachtkolonels,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedorrestntie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheedarrestatie,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
lockheednamen,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
kodoma,1,5.160779705048022E-8,0.0010,2.772978983592283E-6,14.242051425914811,8.494347602428975
