ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
lockheed,418,5.6407322176174875E-5,0.416,0.0011535592571743898,12.848413458384002,8.494347602428977
prins,91,0.002592311253642672,0.087,0.0028007087734282063,5.068704545709621,4.957151520638546
commissie,87,0.0014522434090005133,0.083,0.0017719335705154691,5.836756149137843,5.549714912828907
donner,67,1.8604610836698117E-4,0.066,5.213200489153492E-4,8.470662001145081,6.984152870109792
onderzoek,60,0.0026605367613434065,0.06,0.003219428599950641,4.495173257849188,4.220085941171928
japan,54,0.0011093612053971228,0.054,8.51304547962831E-4,5.605158322065115,5.987140259222265
bernhard,54,6.675468548479616E-4,0.054,8.928992327167152E-4,6.337946494506179,5.918318226477828
affaire,53,4.4005968544944484E-4,0.053,4.935902590794264E-4,6.912149339195533,6.746534626025776
zaak,47,0.001959806092991986,0.047,0.0024402215055612094,4.583877933315643,4.267576740581953
premier,33,0.0017229263045302821,0.032,0.0018856257088427527,4.215139006134471,4.084956666291275
japanse,33,7.175548101898769E-4,0.031,7.73661136422247E-4,5.433035369487289,5.324422600986663
meuser,25,1.0063520424843643E-5,0.025,1.2201107527806047E-4,11.27857730193993,7.678772173566402
steekpenningen,25,4.288607934894906E-5,0.025,2.7729789835922834E-4,9.187202948919193,6.494347602428975
ind,25,1.1286625214940024E-4,0.0040,2.3847619258893636E-4,5.14731392086672,4.068082847726878
int,24,1.6999608348428183E-4,0.0040,2.4402215055612094E-4,4.55642658618846,4.034915983791677
rapport,23,0.0010909372218501014,0.023,0.0015417763148773095,4.3979938721144745,3.898968485762481
gen,23,4.129139842008922E-4,0.0040,4.0485493160447337E-4,3.2760868156427314,3.304523043548958
miljoen,22,0.0037375914857869287,0.021,0.004087371021815026,2.490208529895905,2.361144216112666
tanaka,21,1.161175433635805E-5,0.02,8.873532747495306E-5,10.750198329585139,7.81627569731634
oil,21,1.3547046725751057E-4,0.0040,3.32757478031074E-4,4.883949718473964,3.5874570068204577
nieuwe,20,0.01370414085997272,0.02,0.011904398776561673,0.5453881144418311,0.748505239868515
geld,20,0.0033127561004673758,0.02,0.004101235916732987,2.5938961050510114,2.285869360217271
oud,20,0.005005337020331975,0.02,0.006156013343574869,1.9984608827307486,1.699931736078871
amerikaanse,19,0.0030912554355267147,0.019,0.0025040000221838317,2.6197346420550467,2.923692938391703
schandaal,19,2.1324341741258427E-4,0.019,2.662059824248592E-4,6.47735440049334,6.157312615151405
weer,19,0.015393367273029038,0.019,0.01599454277736029,0.3036905652703723,0.24841966663173842
tel,19,0.0012263044735135108,0.0040,0.0019244474146130446,1.7056827763609608,1.0555557498507149
strauss,18,1.4677257481156573E-4,0.018,2.689789614084515E-4,6.938270677737711,6.064359761684159
dollar,18,8.707267518357023E-4,0.018,5.046821750137956E-4,4.369633047563434,5.156477963672591
klm,18,0.001136145652066322,0.017,0.0014558139663859487,3.903315043340897,3.5456368311258304
minister,17,0.0049772107709394635,0.015,0.004891534927056788,1.5915531132046752,1.6166033524799737
regering,17,0.0031331609667317045,0.017,0.0032748881796224867,2.439843950909343,2.3760171942821584
