ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
beatrix,1132,12933,251354,title,7.025099710792601E-6,0.033661423176425107,6.4402938004964E-5,12.226289851050485,9.029753954231733,91.60376788254074,124.03153211671109,24462.97705078125,17100.330961227417
prinses,849,28557,1975797,title,5.5221603528429576E-5,0.025246067382318833,1.4220634814874792E-4,8.836610177658969,7.471928995492587,72.69903534890011,85.97686568724262,12590.75341796875,10246.621458053589
claus,451,7327,170963,title,4.778249488196867E-6,0.013411044039370781,3.648653264999391E-5,11.454651750216364,8.521841782215443,75.13693943376701,100.99547689175128,9038.29443359375,6358.612167358398
amsberg,297,10479,18451,title,5.156874955792797E-7,0.008831663147878319,5.218266352385508E-5,14.06390046287881,7.402970751984245,60.810364198753014,115.52536648526416,7493.98193359375,3537.329412460327
verloving,200,4083,143576,title,4.012809488119379E-6,0.0059472479110291715,2.0332265976514963E-5,10.533393835924052,8.192307396849074,62.62081960394205,80.51574767206299,3637.98486328125,2689.71333694458
huwelijk,313,26963,2735957,title,7.646733582692534E-5,0.009307442980760652,1.3426864744667475E-4,6.927397452145332,6.115190501812206,50.69504451260652,57.4282554384778,3444.93994140625,2937.0338706970215
von,307,20137,4964049,title,1.3874033910047303E-4,0.009129025543429778,1.0027696300981676E-4,6.04000165034911,6.508398757739018,53.77300782792921,49.90306650137675,2840.1162109375,3117.4680976867676
goedkeuringswet,70,1217,2039,title,5.698806587643766E-8,0.00208153676886021,6.0603398710307885E-6,15.156629687575673,8.424034623530737,51.63329235216334,92.89927293818148,1916.73876953125,972.5180206298828
bezoek,173,39623,4721728,title,1.3196770294978923E-4,0.005144369443040233,1.973121172636425E-4,5.284737452931962,4.704442791387768,34.97578317215361,39.290058243216976,1343.36376953125,1147.8936595916748
verloofde,96,6887,312482,title,8.733567827955367E-6,0.0028546789972940024,3.4295448390952375E-5,8.352541668784628,6.379167598328847,42.006579420810894,55.001173674657686,1327.888671875,949.6411895751953
nederhorst,61,4097,108252,title,3.0255380614301767E-6,0.0018139106128638972,2.0401982293848102E-5,9.227695914193871,6.4742502193820854,38.39707750881404,54.72704069798609,950.17333984375,614.7109928131104
koningin,125,21721,4207385,title,1.1759231660006654E-4,0.003717029944393232,1.0816486634236627E-4,4.982284606918897,5.102846440375263,35.54532754140988,34.70551981658948,896.931640625,925.1896839141846
bernhard,70,6153,362446,title,1.0130013008656855E-5,0.00208153676886021,3.064032146791491E-5,7.682869205849688,6.086073799043458,37.303268776350805,47.09047974482396,874.79638671875,652.1393203735352
prins,129,35169,5756129,title,1.6087820433804476E-4,0.0038359749026138155,1.7513236887779934E-4,4.575552492219449,4.453075621408596,31.22152516728079,32.080238342068796,824.5400390625,793.7018699645996
cals,51,8571,74117,title,2.0714980277410155E-6,0.0015165482173124386,4.2681325418738614E-5,9.515901205831454,5.151042579613467,29.218904466173658,53.97823915165546,823.7294921875,382.0857181549072
hitzacker,31,637,1791,title,5.005670720191263E-8,9.218234262095216E-4,3.1720924386578574E-6,14.168639419048217,8.182911807430072,40.539751484591264,70.19422113305073,788.28466796875,416.11511039733887
margriet,54,5691,168285,title,4.703401994122762E-6,0.0016057569359778762,2.8339682995921295E-5,8.415333169882205,5.824286097330335,33.51811127055079,48.42929568589679,753.60107421875,475.37144660949707
foto,98,37633,3323985,title,9.290214622476245E-5,0.002914151476404294,1.8740244072843195E-4,4.9712201337014505,3.958864222165909,26.18673814187634,32.88317875565871,700.98828125,511.3923683166504
foto's,27,13,1790,title,5.0028758174999224E-8,8.028784679889381E-4,6.47365803807726E-8,13.970136360659152,13.598312843321873,64.65844778922016,66.42642678481765,675.93310546875,604.6404209136963
pvda,67,11611,884772,title,2.472851644022928E-5,0.001992328050194772,5.781972575393466E-5,6.3321357167244035,5.106749640216844,30.977998790893512,38.41130002373348,657.76611328125,496.25058937072754
pagina's,21,1,486,title,1.358322707991599E-8,6.24461030658063E-4,4.979736952367123E-9,15.488497649820284,16.93618248207826,74.38908939139277,68.03039807997352,588.6533203125,515.1342239379883
paar,104,42341,6684781,title,1.8683312407923435E-4,0.003092568913735169,2.1084704230017636E-4,4.048983582479819,3.8745370549035947,25.96110197208546,27.129970414148985,560.64501953125,526.3658142089844
toestemmingswet,19,433,546,title,1.5260168694720432E-8,5.649885515477713E-4,2.156226100374964E-6,15.176163103171037,8.03356935801636,34.12602030707502,64.46724079446763,520.94580078125,249.50139808654785
commentaar,51,11575,610338,title,1.705835318827524E-5,0.0015165482173124386,5.764045522364945E-5,6.47416918193932,4.717565828236035,26.760039956504833,36.72424133584347,514.96923828125,339.4335994720459
