ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
beatrix,1132,12933,251354,title,7.025099710792601E-6,0.0425579909019136,6.4402938004964E-5,12.564623722176194,9.368087825357442,95.03604937708538,127.46381361125573,25243.7314453125,17879.80762863159
prinses,849,28557,1975797,title,5.5221603528429576E-5,0.031918493176435206,1.4220634814874792E-4,9.174944048784678,7.810262866618296,75.99089559965141,89.26872593799392,13172.45458984375,10826.474159240723
claus,451,7327,170963,title,4.778249488196867E-6,0.016955524643783602,3.648653264999391E-5,11.792985621342073,8.860175653341152,78.120023634675,103.97856109265925,9345.703125,6665.3336181640625
huwelijk,313,26963,2735957,title,7.646733582692534E-5,0.011767359675175759,1.3426864744667475E-4,7.26573132327104,6.453524372937914,53.49983868079431,60.23304960666559,3656.30419921875,3147.1946144104004
von,307,20137,4964049,title,1.3874033910047303E-4,0.011541787285236287,1.0027696300981676E-4,6.378335521474818,6.846732628864726,56.568354360571064,52.6984130340186,3046.1142578125,3324.216293334961
amsberg,297,10479,18451,title,5.156874955792797E-7,0.011165833302003835,5.218266352385508E-5,14.402234334004518,7.741304623109954,63.58954658555547,118.3045488720666,7695.94775390625,3738.2182445526123
verloving,200,4083,143576,title,4.012809488119379E-6,0.007519079664649047,2.0332265976514963E-5,10.871727707049759,8.530641267974783,65.20699505895675,83.10192312707767,3773.69140625,2825.0699005126953
bezoek,173,39623,4721728,title,1.3196770294978923E-4,0.006504003909921426,1.973121172636425E-4,5.623071324057671,5.042776662513477,37.49116972079041,41.80544479185377,1458.09033203125,1261.2782440185547
amsterdam,129,141695,34578073,title,9.664234928907653E-4,0.004849806383698635,7.056038274656595E-4,2.3271997216565756,2.7809968607243425,19.498200987157016,16.316526117291993,302.95361328125,399.97257804870605
prins,129,35169,5756129,title,1.6087820433804476E-4,0.004849806383698635,1.7513236887779934E-4,4.913886363345157,4.791409492534304,33.59366082595022,34.452374000738224,908.7548828125,877.6159934997559
koningin,125,21721,4207385,title,1.1759231660006654E-4,0.004699424790405655,1.0816486634236627E-4,5.320618478044607,5.441180311500973,37.902088303866236,37.06228057904584,979.30712890625,1007.7443504333496
onze,109,262433,33520813,title,9.368741046962962E-4,0.00409789841723373,0.0013068473076205613,2.128957122345154,1.6487936357220612,11.15933924008601,14.409174223578665,221.892578125,145.49732780456543
paar,104,42341,6684781,title,1.8683312407923435E-4,0.003909921425617504,2.1084704230017636E-4,4.387317453605528,4.212870926029304,28.22808768016859,29.396956122232115,627.35107421875,592.5749855041504
foto,98,37633,3323985,title,9.290214622476245E-5,0.003684349035678033,1.8740244072843195E-4,5.3095540048271594,4.297198093291618,28.424718529809173,35.12115914359155,765.52587890625,574.0039310455322
verloofde,96,6887,312482,title,8.733567827955367E-6,0.0036091582390315427,3.4295448390952375E-5,8.690875539910335,6.717501469454554,44.2344952748975,57.22908952874429,1392.77587890625,1014.0007514953613
den,80,145229,295652905,title,0.008263210998872077,0.0030076318658596186,7.232022178553249E-4,-1.4580745151152543,2.056156984741204,12.998876609334301,-9.217842241546393,171.13330078125,153.82245254516602
kamer,77,55585,12264089,title,3.427693535294235E-4,0.002894845670889883,2.7679867849732655E-4,3.078176406529243,3.386577477421529,21.22295815452573,19.29027447432206,278.42041015625,320.7392768859863
