ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
kroonbemanning,2,1.0321559410096044E-7,0.0020,4.370075471203387E-6,14.242051425914815,8.838126089377711
priness,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
wintersportstemming,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
bkisport,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
anktelegram,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
nvfj,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
herdenkingsmedalje,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
velovingscadeau,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
portretpennningen,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
oostenrflk,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
sesselllft,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
stiand,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
stoereroeiers,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
volkscadeau,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
koristam,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
amsber_,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
verjaardas,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
landbouwdistrikt,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
hitsacker,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
friesband,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
verhoofdel,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
cnüf,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
dösrewoond,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
publiciteitsterrein,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
bruidspur,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
partïkulier,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
telenzen,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
oedkeuringswet,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
christma's,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
schoolkrantverslag,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
stijdkreten,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
allerbedenkelijksf,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
kinderdansjes,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
steelbandmvsziek,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
hartszaken,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
winkele,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
huwelijksvol1trekking,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
ercote,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
p'engel,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
krqonprinses,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
palameu,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
ierras,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
artysberg,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
werff.j,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
paleken,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
ingsgeruch,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
rlotv,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
verlovingsprimeur,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
hohenzollernprins,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
muloleerlinge,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
totsige,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
regeringsondersoek,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
d'oeynhausen,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
rrfl,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
begroetingsdans,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
rutlvs,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
9honderd,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
biua,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
doopplecbtipheid,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
ioreporter,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
mtngaretha,1,5.160779705048022E-8,0.0010,2.1850377356016937E-6,14.242051425914811,8.838126089377711
