ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
haagse,113,13565,624712,title,1.7460092501128555E-5,0.040371561271882815,5.714536695317089E-5,11.175062463094898,9.464487128250218,64.54949600214148,76.21592591447549,2206.2919921875,1818.6893501281738
kunkeler,16,29,2286,title,6.38914755240493E-8,0.0057163272597356195,1.221684955135979E-7,16.449105529586348,15.513928597876683,62.05571439150673,65.79642211834539,480.17578125,439.53095054626465
weekbladen,37,961,68514,title,1.914899629945194E-6,0.01321900678813862,4.048411178916124E-6,12.753057388553849,11.672970337859457,60.80979461344885,66.436457734861,837.66162109375,755.7533187866211
post,113,20849,3911247,title,1.093155476679839E-4,0.040371561271882815,8.78307228607932E-5,8.528696963999444,8.844397987866195,60.32037709207225,58.167239610683296,1608.95068359375,1679.259328842163
jet,16,2541,284841,title,7.961028775041874E-6,0.0057163272597356195,1.0704487831036286E-5,9.487917920657273,9.060728932950903,36.24291573180361,37.95167168262909,257.64111328125,243.85074615478516
steun,31,20701,3073837,title,8.591075304042743E-5,0.011075384065737763,8.720724226299967E-5,7.010302295307383,6.988693062387888,34.62335738410843,34.730413766108484,346.37451171875,344.97968673706055
citaartjes,3,1,199,title,5.56185635576807E-9,0.0010718113612004287,4.212706741848204E-9,17.55605309797833,17.956872093725416,28.46096889880098,27.82568582096514,96.619140625,91.74600982666016
linie,9,2261,567215,title,1.585310730068837E-5,0.003215434083601286,9.52492994331879E-6,7.664104059655783,8.399089317695038,26.624483217508555,24.29463507235839,112.154296875,125.28226280212402
publiceert,6,633,203859,title,5.6976606775403165E-6,0.0021436227224008574,2.666643367589913E-6,8.555465593519447,9.650810404297072,24.946982996677512,22.115557735457838,85.416015625,98.45585441589355
amesz,4,61,19722,title,5.512107087862205E-7,0.0014290818149339049,2.5697511125274046E-7,11.340196975999357,12.441172255441371,24.882344510882742,22.680393951998713,79.1904296875,87.62787628173828
interviewde,5,269,8948,title,2.500878928211693E-7,0.0017863522686673813,1.1332181135571668E-6,12.802293771629069,10.622375325334994,24.664391702333607,29.726005587347025,113.6064453125,91.68574523925781
mierlo,6,871,124772,title,3.4872559860396664E-6,0.0021436227224008574,3.6692675721497858E-6,9.26374302778056,9.190343185126547,23.756692502310354,23.94642834312981,93.8984375,92.96062850952148
sprak,12,15949,3579164,title,1.0003415096349883E-4,0.004287245444801715,6.718845982573701E-5,5.421486498551646,5.995693744121139,21.494337238482714,19.435825795473697,96.369140625,109.87399864196777
weekbladpers,4,209,2122,title,5.930783511025048E-8,0.0014290818149339049,8.804557090462746E-7,14.55650627688606,10.664550460923374,21.32910092184675,29.11301255377212,104.908203125,73.68058395385742
