ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
haagse,113,13565,624712,title,1.7460092501128555E-5,0.05307656176608737,5.714536695317089E-5,11.56979800021552,9.85922266537084,67.24166300812921,78.90809292046322,2297.60693359375,1909.926290512085
post,113,20849,3911247,title,1.093155476679839E-4,0.05307656176608737,8.78307228607932E-5,8.923432501120065,9.239133524986816,63.01254409805996,60.859406616671016,1700.08740234375,1770.4369468688965
weekbladen,37,961,68514,title,1.914899629945194E-6,0.01737905119774542,4.048411178916124E-6,13.14779292567447,12.067705874980078,62.86615098583522,68.49281410724737,867.0927734375,785.1799716949463
steun,31,20701,3073837,title,8.591075304042743E-5,0.01456082667919211,8.720724226299967E-5,7.405037832428005,7.38342859950851,36.57895472569,36.68601110769005,370.83935546875,369.44166374206543
jet,16,2541,284841,title,7.961028775041874E-6,0.007515265382808831,1.0704487831036286E-5,9.882653457777893,9.455464470071524,37.821857880286096,39.53061383111157,270.29931640625,256.5031623840332
kunkeler,16,29,2286,title,6.38914755240493E-8,0.007515265382808831,1.221684955135979E-7,16.843841066706965,15.908664134997304,63.634656539989216,67.37536426682786,492.849609375,452.20383071899414
nieuwe,14,217653,30722021,title,8.586505917632669E-4,0.006575857209957727,9.169082604834871E-4,2.9370358881546164,2.8423296722291145,10.821757867671895,11.182338045025304,47.21630859375,44.92000770568848
tijd,13,137631,21714885,title,6.069099052865463E-4,0.0061061531235321745,5.797990415873102E-4,3.3307094964169686,3.3966389146239973,12.56905754785829,12.325089710131067,52.90966796875,54.45682334899902
nederland,13,172059,16676475,title,4.6609124859576547E-4,0.0061061531235321745,7.248341092956601E-4,3.71157943838117,3.074541015809631,11.377153689955819,13.73447597082149,61.95166015625,46.96871376037598
sprak,12,15949,3579164,title,1.0003415096349883E-4,0.0056364490371066224,6.718845982573701E-5,5.816222035672267,6.39042928124176,22.90944933676216,20.850937893753144,105.6728515625,119.24109268188477
vrij,11,111903,10461405,title,2.923860898970546E-4,0.005166744950681071,4.7141452253303954E-4,4.143309086212545,3.4541875603782906,11.949525663076288,14.333494458630888,61.28271484375,47.21529197692871
