ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
krakers,367,6555,49191,title,1.3748405828974227E-6,0.044010073150257824,2.5915760990880166E-5,14.966281805929757,10.72978829666833,91.41389335762834,127.50727704406695,9946.05517578125,6811.902690887451
kraakpand,59,657,6563,title,1.834294636326927E-7,0.007075188871567334,2.5975064791774627E-6,15.235255648028915,11.411425597973746,67.12934347723005,89.62357074312803,1627.36669921875,1169.5567035675049
ontruiming,72,4091,270804,title,7.568708284258374E-6,0.008634128792421154,1.6174123297283107E-5,10.155787794561444,9.0602192884885,55.900873506595076,62.66044902300734,1255.73779296875,1096.398063659668
leegstandswet,31,523,1310,title,3.661322525656368E-8,0.0037174721189591076,2.067725857853597E-6,16.631597530392305,10.81206128307417,53.565074116282844,82.39619912090903,940.8291015625,578.5196418762207
gekraakt,38,1305,38056,title,1.0636281682166316E-6,0.004556901307111164,5.1594306778182485E-6,12.06484351991137,9.786625530920574,51.35950138748751,63.31542425353443,807.50390625,632.9350090026855
kraakactie,19,277,2083,title,5.8217823060627586E-8,0.002278450653555582,1.0951435231844098E-6,15.256232705833177,11.022717456328632,46.82370475565329,64.80737066260663,524.72900390625,362.29283332824707
ontruimt,12,47,6209,title,1.7353550810534646E-7,0.0014390214654035256,1.8581857613598288E-7,13.017569600792728,12.918905757977752,46.31379269270087,46.6674988693696,277.79248046875,271.373872756958
baulig,12,83,3263,title,9.11976748184483E-8,0.0014390214654035256,3.2814769828269317E-7,13.945731545059532,12.098455178308464,43.37250813089154,49.99492463416254,300.0361328125,253.38179969787598
berlijn,41,6249,4317629,title,1.2067352912310823E-4,0.004916656673462046,2.470596345263313E-5,5.3484964691917165,7.636674488790516,40.91388071603541,28.654847980210825,323.45654296875,508.40579414367676
kraken,21,1143,67042,title,1.873758662328658E-6,0.00251828756445617,4.518949628158052E-6,10.39229217143609,9.122239843498516,40.067772999365125,45.646245967206056,375.9951171875,322.17444038391113
nijmeegse,24,1885,66620,title,1.8619641729712001E-6,0.002878042930807051,7.452510979070803E-6,10.594047083589684,8.593145801499366,39.39925126310405,48.573308609133036,439.39599609375,343.06347465515137
cijfers,56,15557,1944318,title,5.434179611022242E-5,0.006715433505216453,6.150594870101033E-5,6.949274473109037,6.770610772506982,39.31933979505467,40.35690331613903,618.5771484375,598.4551601409912
rellen,24,2137,63103,title,1.7636674453167464E-6,0.002878042930807051,8.448814834097774E-6,10.672293843135177,8.412123416995579,38.569270418363054,48.93206706745207,443.1494140625,334.4498767852783
frigge,11,163,21504,title,6.010158747459125E-7,0.0013191030099532319,6.444346363864938E-7,11.099866512288779,10.999235573340455,38.05110332325412,38.399229175265106,212.48486328125,209.23371505737305
kraakpanden,14,453,2885,title,8.063294264518032E-8,0.0016788583763041132,1.7909747870127711E-6,14.345751634955004,9.872519790945606,37.58818681916786,54.61936809796185,361.2236328125,235.49549102783203
aamnaak,8,51,63,title,1.7607886955446655E-9,9.593476436023504E-4,2.0163292304117292E-7,19.055472392930326,12.216106766962739,36.648320300888216,57.16641717879098,280.408203125,170.66869926452637
truiden,10,151,20179,title,5.639834140856476E-7,0.001199184554502938,5.969915956709237E-7,11.054113350425359,10.972055464496519,36.4483793061734,36.720969702847476,192.251953125,189.68480491638184
geding,33,6721,391397,title,1.093916528682691E-5,0.0039573090298596954,2.6572056387445554E-5,8.498873263388468,7.2184660398366605,36.412787642140756,42.87166631100958,466.15478515625,381.79611587524414
nijmegen,48,16371,2374800,title,6.637334911395986E-5,0.005756085861614102,6.472416829621651E-5,6.438340229608004,6.474639780561592,36.160620380113954,35.95788874924514,481.5673828125,484.8161849975586
politie,92,63303,8626097,title,2.4109101721066272E-4,0.011032497901427029,2.502739005348112E-4,5.516037763970779,5.462107813235818,35.632398730306946,35.98421410521357,756.701171875,746.8137035369873
knokploeg,11,307,8295,title,2.3183717824671428E-7,0.0013191030099532319,1.213751124973335E-6,12.474157669224313,10.085868882201355,34.891373712517385,43.15349545678153,242.697265625,189.63903045654297
skyway,7,55,696,title,1.9452522731731542E-8,8.394291881520566E-4,2.1744726994636296E-7,15.397163742639119,11.914527317467183,33.44830690868128,43.22530341862481,195.27001953125,145.38601684570312
katapults,7,91,473,title,1.3219889730041694E-8,8.394291881520566E-4,3.5977639209307325E-7,15.95441086514845,11.188092390793145,31.408946241728362,44.78969387080382,203.0244140625,135.69570541381836
ontruimd,20,4017,364998,title,1.020133892533987E-5,0.002398369109005876,1.588155787953709E-5,7.877151378088103,7.23855745777613,31.2845248432191,34.04448184863968,257.69140625,232.14344596862793
wetering,13,1407,177755,title,4.96807927899273E-6,0.0015589399208538195,5.562696523900594E-6,8.293661418721614,8.130565213838794,30.086666448225397,30.69019412265186,178.27294921875,173.87599182128906
pand,49,36415,1504795,title,4.205755595416087E-5,0.005876004317064396,1.4396986063812376E-4,7.126326630899305,5.350996728351875,30.044294006505545,40.0122562868907,558.416015625,386.7832679748535
kraker,10,591,18464,title,5.16050832929154E-7,0.001199184554502938,2.3365697552418274E-6,11.18225290267212,9.003445883644064,29.908799831675193,37.14664008152228,194.8125,151.0466823577881
rkz,8,265,6750,title,1.8865593166549987E-7,9.593476436023504E-4,1.0477004824688397E-6,12.312080529604685,9.838683559483673,29.51605067845102,36.936241588814056,173.91259765625,134.02786827087402
sport,61,63349,2739871,title,7.657672831826442E-5,0.007315025782467922,2.5045576552422085E-4,6.577813115585856,4.868235221163713,28.87222439419435,39.0112818441159,628.95654296875,424.4651508331299
barricades,9,495,29531,title,8.253627137798335E-7,0.0010792660990526443,1.9570254295172664E-6,10.352734727445078,9.107172395409574,28.869053468654084,32.81739264582822,160.41064453125,137.78784370422363
luyk,6,81,21056,title,5.884947106887059E-7,7.195107327017628E-4,3.202405248300982E-7,10.255771043416157,11.133644606770769,28.78005380485878,26.510783563212648,105.77490234375,115.67996597290039
westberlijnse,9,511,20747,title,5.798584613724631E-7,0.0010792660990526443,2.0202828171380268E-6,10.862062199358792,9.061277629438926,28.723570502568382,34.43192253296891,169.5712890625,136.97056007385254
kraak,10,779,100882,title,2.819553733078364E-6,0.001199184554502938,3.079844059785759E-6,8.732371154184102,8.604980685759928,28.58512709598903,29.008309072068155,145.876953125,143.1535758972168
bommel,15,2981,289455,title,8.089985585220335E-6,0.001798776831754407,1.1785642031092873E-5,7.796663359933408,7.253842044551586,28.339967265888262,30.46071075804935,190.8505859375,174.54913902282715
leegstand,10,831,14977,title,4.1859257608210245E-7,0.001199184554502938,3.2854305695532296E-6,11.48421936114685,8.511755537051252,28.275439855343627,38.14975094364312,200.84814453125,141.3055076599121
ontruimen,10,855,174586,title,4.8795088127041425E-6,0.001199184554502938,3.3803166509843697E-6,7.941102062566221,8.47067959404834,28.13898852625826,26.379770046006715,130.10205078125,140.49110221862793
wielingen,6,117,24324,title,6.798321306417213E-7,7.195107327017628E-4,4.625696469768085E-7,10.047621942963342,10.603129890071987,27.40869315611172,25.97272594398328,103.279296875,109.50663375854492
krakersrellen,5,49,567,title,1.584709825990199E-8,5.99592277251469E-4,1.937257495885779E-7,15.207475486375374,11.595750359706388,26.924498541502498,35.31066458412583,137.58935546875,100.8277759552002
geertsema,9,795,107304,title,2.999042383916266E-6,0.0010792660990526443,3.143101447406519E-6,8.491332986608754,8.423646060204831,26.70232624954433,26.91688872982291,126.9599609375,125.6010971069336
zaanse,8,687,35577,title,9.943425304982945E-7,9.593476436023504E-4,2.7161140809663883E-6,9.914095075168312,8.464365820116132,25.393097460348397,29.742285225504936,135.5751953125,112.28997611999512
kraakrellen,4,21,94,title,2.6272085298602945E-9,4.796738218011752E-4,8.302532125224767E-8,17.4781634647526,12.496214686155476,24.99242937231095,34.9563269295052,128.04443359375,87.39792251586914
woningnood,9,1449,106972,title,2.989763306981015E-6,0.0010792660990526443,5.728747166405089E-6,8.495803623888332,7.557615230819618,23.957073471456322,26.931060314707825,127.0400390625,110.14064598083496
katshuis,4,33,37,title,1.0341139957960734E-9,4.796738218011752E-4,1.3046836196781777E-7,18.82329895080129,11.844137989575781,23.688275979151562,37.64659790160258,138.44482421875,82.54500389099121
geweld,17,9381,1160967,title,3.2447897928577836E-5,0.0020386137426549947,3.7088597079396926E-5,5.973319623571507,5.780468945538377,23.627452019889652,24.415722000260004,154.86962890625,148.3821258544922
groningse,11,2987,132838,title,3.7126928371232105E-6,0.0013191030099532319,1.1809363551450658E-5,8.472875553633527,6.803482205260741,23.536181457715216,29.311333591018823,154.77294921875,118.18470764160156
west,29,31395,3380049,title,9.446908046963572E-5,0.0034776352080585203,1.2412285527211027E-4,5.202120581068014,4.80826591219758,23.358464420975587,25.271802917190417,220.45751953125,198.28919982910156
protest,15,7705,936040,title,2.6161407152025852E-5,0.001798776831754407,3.04623857261223E-5,6.103432255476392,5.883843463140607,22.987532692176696,23.845442079854404,140.48974609375,133.96436882019043
politiebureau,10,2575,396375,title,1.1078295542801853E-5,0.001199184554502938,1.0180485820216083E-5,6.758173964551679,6.880103486863655,22.855209068744884,22.450167962980533,106.5927734375,108.95512771606445
