ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
krakers,367,6555,49191,title,1.3748405828974227E-6,0.05402620344472251,2.5915760990880166E-5,15.262107340024894,11.025613830763465,93.93421930242195,130.0276029888606,10168.66845703125,7034.399747848511
politie,92,63303,8626097,title,2.4109101721066272E-4,0.013543353452083027,2.502739005348112E-4,5.811863298065915,5.757933347330954,37.56223493016022,37.914050305066844,810.3935546875,800.4634628295898
ontruiming,72,4091,270804,title,7.568708284258374E-6,0.010599146179891064,1.6174123297283107E-5,10.451613328656581,9.356044822583637,57.726094865473684,64.48567038188594,1298.50830078125,1139.1289539337158
sport,61,63349,2739871,title,7.657672831826442E-5,0.008979832180185485,2.5045576552422085E-4,6.873638649680992,5.164060755258849,30.626687934656857,40.7657453845784,664.8525390625,459.58475494384766
kraakpand,59,657,6563,title,1.834294636326927E-7,0.008685411452966288,2.5975064791774627E-6,15.531081182124048,11.70725113206888,68.86957949919855,91.36380676509653,1662.4111328125,1204.5892734527588
cijfers,56,15557,1944318,title,5.434179611022242E-5,0.008243780362137495,6.150594870101033E-5,7.245100007204173,7.066436306602118,41.037303666552376,42.07486718763674,651.59130859375,631.4363594055176
amsterdam,52,199431,34578073,title,9.664234928907653E-4,0.007654938907699102,7.884677544122384E-4,2.9856634331267804,3.2792672038274135,18.69326501509527,17.01959441919739,179.85107421875,206.90557289123535
pand,49,36415,1504795,title,4.205755595416087E-5,0.007213307816870308,1.4396986063812376E-4,7.422152164994441,5.646822262447011,31.705268544930146,41.673230825315294,587.31396484375,415.22600746154785
nijmegen,48,16371,2374800,title,6.637334911395986E-5,0.00706609745326071,6.472416829621651E-5,6.73416576370314,6.770465314656728,37.8127948947911,37.610063263922285,509.76171875,513.0169715881348
groningen,42,160181,10933681,title,3.05585744531611E-4,0.0061828352716031204,6.332894754050611E-4,4.338619419756867,3.287331559925658,17.726335245037607,23.39521308796123,249.5859375,167.6519947052002
