ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
friggekrakers,2,1.0321559410096044E-7,0.0020,4.565001049950242E-6,14.242051425914815,8.775169092632693
vlinderpand,3,1.5482339115144065E-7,0.0030,6.847501574925362E-6,14.242051425914813,8.775169092632694
ormeco,3,1.5482339115144065E-7,0.0030,6.847501574925362E-6,14.242051425914813,8.775169092632694
schijngebruik,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
stormploeg,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
kenmerkwoensdag,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
aannemerstruc,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
burgerknokploegen,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
totzondag,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
doormeuren,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
amsterdamsè,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
urelang,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
ontrnimingsgolf,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
alarmdraadje,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
f68.300,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
heilsopvangcentrum,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
rezetten,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
j:arrestatie,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
winterfeldplatz,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
luykbewoners,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
volkverzet,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
potsdammerstrasse,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
rattaystraat,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
munekrepetities,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
langsgetrokken,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
tmeijerplein,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
dgzg,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
nabpheid,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
zhüi,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
luxeappartement,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
mebijstand,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
universiteitspand,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
emsto,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
eéndagskraak,1,5.160779705048022E-8,0.0010,2.282500524975121E-6,14.242051425914811,8.775169092632693
