ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
krakers,368,1.5043672840214984E-4,0.361,8.239826895160186E-4,11.228626284714124,8.775169092632693
politie,71,0.00407092624693598,0.07,0.004103935943905267,4.103925932569367,4.092274804063212
ontruiming,52,9.949983271332586E-5,0.051,2.944425677217906E-4,9.001587431656347,7.436367179180932
kraakpand,51,2.9364836521723244E-5,0.051,1.757525404230843E-4,10.762191925579724,8.180807893909286
pand,46,2.2495838734304328E-4,0.045,3.834600881958203E-4,7.64412303389049,6.874704766183608
amsterdam,43,0.011123492968463456,0.039,0.014989180947511617,1.8098642336665511,1.3795525715928383
nijmegen,36,0.0010264274755370012,0.034,0.0011047302540879585,5.049831146954803,4.943768696608437
groningen,34,0.009080598322220197,0.033,0.013592290626226845,1.8616067592804546,1.27967741923967
gekraakt,33,8.443035597458564E-5,0.033,1.9401254462288525E-4,8.610488512331518,7.410172275853443
geding,30,7.811356161560686E-4,0.03,0.0011092952551379088,5.263245648183936,4.75724718463543
berlijn,24,8.877057170653103E-4,0.023,4.998676149695515E-4,4.6954085623145545,5.523943989088531
kort,24,0.004231374887965923,0.024,0.004978133644970738,2.5038359906237337,2.2693575387130975
weer,20,0.015393367273029038,0.019,0.015575783582430223,0.3036905652703723,0.28669467475798793
ontruimd,20,9.712587404900378E-5,0.02,1.1412502624875604E-4,7.685928608073639,7.45324099774533
gemeente,19,0.0025164993997755162,0.019,0.003654283340485168,2.916509259714072,2.378339013560021
nijmeegse,18,9.88805391487201E-5,0.018,1.5977503674825846E-4,7.508094581620945,6.815811077130039
leegstandswet,18,6.450974631310027E-6,0.018,1.7118753937313405E-4,11.446192142695038,6.716275403579125
kraakactie,18,1.0166736018944602E-5,0.018,5.47800125994029E-5,10.78992460790075,8.360131593353849
actie,17,0.002616050840285893,0.017,0.002905623168293329,2.700072262831921,2.5486152299816736
kraken,17,7.01866039886531E-5,0.017,1.32385030448557E-4,7.92012333102745,7.00465093875546
west,16,0.003394812497777639,0.016,0.0028303006509691497,2.236668106235906,2.499044687358455
huis,16,0.004262804036369666,0.016,0.00500552365127044,1.9081972647206422,1.6764789959590978
rellen,16,2.107662431541612E-4,0.016,4.7932511024477534E-4,6.24628427503701,5.06092357496657
moeten,14,0.0028604137593199164,0.014,0.0030334431976919356,2.2911310738847144,2.2063986254141197
weg,13,0.0066365046617065035,0.013,0.007059774123748049,0.9700161203858837,0.8808176926845199
blijven,13,0.003240556792393754,0.013,0.0032594107496644723,2.004197999904215,1.9958285467446855
grote,13,0.012067915654487244,0.013,0.011423915127500479,0.10733510495762122,0.18645445705042807
binnen,12,0.001891528977494201,0.011,0.002118160487176912,2.5398787405492653,2.376619716142417
onder,12,0.00639642518982767,0.01,0.006085146399583672,0.644662252556385,0.7166361224310824
verslaggevers,12,4.6684413211864405E-4,0.012,0.0018442604241798975,4.683949646004558,2.701920110602055
protest,12,0.0015688770303345985,0.012,0.0016913328890065646,2.93523022341766,2.826801861048015
kraakpanden,12,8.979756686783558E-6,0.012,3.652000839960193E-5,10.38407043078724,8.360131593353849
knokploeg,11,2.42556646137257E-5,0.011,5.706251312437802E-5,8.824966097987112,7.590744521495265
onzer,11,6.37717548152784E-4,0.011,0.0022414155155255685,4.108442132962698,2.2950214969552976
rond,11,0.0021595798753743954,0.011,0.0026956331199956174,2.348680940816412,2.028807461872833
mogen,10,0.0014639583789309723,0.01,0.0015110153475335298,2.772053557224049,2.726409780712838
groninger,10,0.0011195795492131178,0.01,0.0014813428407088533,3.158971055595484,2.7550225195209164
geweld,10,6.301312019863634E-4,0.01,6.756201553926358E-4,3.98820394092741,3.887643821891106
groningse,10,1.7825333101235868E-4,0.01,1.962950451478604E-4,5.809927153273251,5.670832432817957
krijgen,10,0.0012748158027409624,0.01,0.0012051602771868638,2.971639286759749,3.052703068161601
jongeren,10,9.748196784865208E-4,0.01,9.289777136648742E-4,3.358720815028243,3.4282122032538096
rechter,10,0.001453172349347422,0.01,0.001627422874307261,2.7827222750527563,2.6193389210761664
baulig,10,3.302899011230734E-6,0.01,2.739000629970145E-5,11.563979520802175,8.512134686798898
hotel,10,0.0018060664655786057,0.01,0.0012896127966109433,2.469077108050766,2.954990130217504
achter,10,0.0027259754480034155,0.01,0.002348693040199399,1.8751555265825486,2.090069920626086
werden,10,0.0013929976579865621,0.0060,8.741977010654713E-4,2.1067696683484014,2.7789310114288908
jaar,10,0.02770621353231786,0.0090,0.028857654137260453,-1.62221265192185,-1.680957120159257
ontruimt,10,1.9817394067384403E-5,0.01,5.021501154945266E-5,8.97901702008102,7.637665568882757
truiden,10,2.6526407683946833E-5,0.01,2.533575582722384E-4,8.5583549716083,5.302681321169948
frigge,9,9.54744245433884E-6,0.0090,2.967250682467657E-5,9.880594966840812,8.244654375933914
wetering,9,7.627632404060976E-5,0.0090,1.415150325484575E-4,6.882545873210974,5.99089778368813
rechtbank,9,8.368720369705872E-4,0.0090,5.112801175944271E-4,3.426846053890227,4.137739172017401
burgemeester,9,0.0018830652987779223,0.0090,0.0014471053328342265,2.2568419724993714,2.636755063935597
amsterdamse,9,0.002770151722278627,0.0080,0.0017461129016059674,1.5300350045975426,2.195853155052677
oude,9,0.003156436083201471,0.0090,0.002821170648869249,1.511628464148444,1.6736310661706302
beroep,8,0.0012595915026110706,0.0080,0.0012188552803367144,2.667044070013451,2.714473160945137
politiebureau,8,1.2633588717957556E-4,0.0080,1.1869002729870628E-4,5.984663583222161,6.074729374491599
duitse,8,0.0028544788626591114,0.0080,0.0016319878753572113,1.4867726207461809,2.293369660966941
justitie,8,7.4475211923548E-4,0.0080,6.573601511928348E-4,3.42516777113405,3.6052440911903796
panden,8,6.853515448303772E-5,0.0080,9.586502204895507E-5,6.8670119945678865,6.382851669853932
verlaten,8,5.126718558994705E-4,0.0080,3.6063508294606906E-4,3.9638923944775746,4.471388344455588
vonnis,8,3.0195722054235976E-4,0.0080,3.6063508294606906E-4,4.727583923095543,4.471388344455588
verzet,8,9.933468776276433E-4,0.0080,0.0011480977640624856,3.009630498738736,2.800754502827165
oorlog,8,0.0013720965001811176,0.0080,9.312602141898493E-4,2.543618049511932,3.1027437506611966
nieuwe,8,0.01370414085997272,0.0080,0.01191008773932018,-0.7765399804455324,-0.5741121361847608
president,8,0.0025719777816047827,0.0080,0.0016023153685325348,1.637121820206242,2.319841872328131
open,8,0.002263053508460608,0.0060,0.0028827981630435776,1.4066918041065728,1.0574926695662947
raad,8,0.0031316643406172407,0.0080,0.00293301317459303,1.3530704106398117,1.447616448551451
barricades,8,1.687574963550703E-5,0.0070,2.739000629970145E-5,8.696259522474335,7.997561513969141
twee,8,0.008390137605481822,0.0080,0.006203836426882378,-0.06869447230016945,0.36683935186530103
gebouw,8,0.0015881267386344277,0.0080,0.0013466753097353212,2.332673950300422,2.5705979483834893
ontruimen,8,3.999604271412217E-5,0.0080,5.706251312437802E-5,7.6439989257532135,7.1313129028579665
veiling,8,2.848750397186508E-4,0.0080,7.806151795414913E-4,4.81159887424928,3.3573165777467944
cel,7,8.638629148279884E-4,0.0070,8.787627021154215E-4,3.018480625608418,2.9938093791080336
bezetten,7,1.3810246490708505E-4,0.0070,1.6205753727323356E-4,5.663543947330957,5.432776895185616
traangas,7,5.7491085914234964E-5,0.0070,1.1184252572378092E-4,6.927872830632386,5.967814170575088
luxe,7,2.2604215108110336E-4,0.0070,2.3509755407243743E-4,4.952691193483882,4.896023487507079
woningen,7,7.846449463555013E-4,0.0070,8.034401847912425E-4,3.157243038110452,3.123092396053001
nodig,7,0.001887658392715415,0.0070,0.0019743629541034793,1.8907572165350777,1.82596769216621
hoofdstad,7,6.232157571815991E-4,0.0070,3.7889508714587E-4,3.489551306458794,4.207484583343374
ruiten,7,1.56578056251157E-4,0.0060,1.7803504094805942E-4,5.260008556388933,5.074729374491599
utrecht,7,0.002687217992418505,0.0060,0.0034694007979621834,1.1588491403583552,0.7902759850228991
westberlijnse,7,1.945613948803104E-5,0.0070,4.3367509974527295E-5,8.490985634703755,7.334596501246712
russisch,7,4.502780292654399E-4,0.0070,2.533575582722384E-4,3.958466931988041,4.78810814834019
willen,7,0.005122899582012969,0.0070,0.007107706634772526,0.45039430938903546,-0.022029214388740392
kraak,7,1.5363641181927962E-4,0.0070,1.3923253202348236E-4,5.509762841734381,5.651786677127412
gewonden,7,0.0011327911452580408,0.0070,8.468076947657697E-4,2.627473028662336,3.0472486380694948
schade,7,0.001282195717719181,0.0070,9.974527294141279E-4,2.4487384265349457,2.8110345451897
drie,7,0.005509029119544663,0.0060,0.003935030905057108,0.12316441202188244,0.6085875342647498
