ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
effektenbeurs,278,25,7184,title,2.0078580934591868E-7,0.01600460564191134,1.1510764125316786E-7,16.282470293758344,17.085143995478465,138.7132773182855,132.196416833395,8242.05517578125,7324.676267623901
persspiegel,2,1,12,title,3.3538832296088864E-10,1.1514104778353483E-4,4.604305650126715E-9,18.389138355054833,14.610059112529681,14.610059112529681,18.389138355054833,67.3291015625,48.931488037109375
exxcn,1,1,11,title,3.074392960474813E-10,5.757052389176742E-5,4.604305650126715E-9,17.51466923713869,13.610059112529681,0.0,0.0,32.0166015625,23.220664978027344
bayukcic,1,1,13,title,3.6333734987429604E-10,5.757052389176742E-5,4.604305650126715E-9,17.27366113763489,13.610059112529681,0.0,0.0,31.552734375,23.220664978027344
burroushi,1,1,13,title,3.6333734987429604E-10,5.757052389176742E-5,4.604305650126715E-9,17.27366113763489,13.610059112529681,0.0,0.0,31.552734375,23.220664978027344
aleao,1,1,14,title,3.9128637678770345E-10,5.757052389176742E-5,4.604305650126715E-9,17.16674593371838,13.610059112529681,0.0,0.0,31.34765625,23.220664978027344
jgi4,1,1,15,title,4.192354037011108E-10,5.757052389176742E-5,4.604305650126715E-9,17.06721026016747,13.610059112529681,0.0,0.0,31.1552734375,23.220664978027344
2chi,1,1,16,title,4.471844306145182E-10,5.757052389176742E-5,4.604305650126715E-9,16.974100855775987,13.610059112529681,0.0,0.0,30.974609375,23.220664978027344
carlirtg,1,1,22,title,6.148785920949626E-10,5.757052389176742E-5,4.604305650126715E-9,16.51466923713869,13.610059112529681,0.0,0.0,30.07958984375,23.220664978027344
alcui,1,1,22,title,6.148785920949626E-10,5.757052389176742E-5,4.604305650126715E-9,16.51466923713869,13.610059112529681,0.0,0.0,30.07958984375,23.220664978027344
actut,1,1,23,title,6.428276190083699E-10,5.757052389176742E-5,4.604305650126715E-9,16.45053889971898,13.610059112529681,0.0,0.0,29.9541015625,23.220664978027344
cadmg,1,1,25,title,6.987256728351847E-10,5.757052389176742E-5,4.604305650126715E-9,16.330244666001263,13.610059112529681,0.0,0.0,29.71826171875,23.220664978027344
kant.p,1,1,26,title,7.266746997485921E-10,5.757052389176742E-5,4.604305650126715E-9,16.273661137634896,13.610059112529681,0.0,0.0,29.60693359375,23.220664978027344
3u'i,1,1,32,title,8.943688612290364E-10,5.757052389176742E-5,4.604305650126715E-9,15.974100855775985,13.610059112529681,0.0,0.0,29.017578125,23.220664978027344
boeinp,1,1,36,title,1.006164968882666E-9,5.757052389176742E-5,4.604305650126715E-9,15.804175854333673,13.610059112529681,0.0,0.0,28.68359375,23.220664978027344
bondachtige,1,1,40,title,1.1179610765362955E-9,5.757052389176742E-5,4.604305650126715E-9,15.652172760888623,13.610059112529681,0.0,0.0,28.3828125,23.220664978027344
iruma,1,1,42,title,1.1738591303631103E-9,5.757052389176742E-5,4.604305650126715E-9,15.581783432997225,13.610059112529681,0.0,0.0,28.244140625,23.220664978027344
enstm,1,1,47,title,1.3136042649301473E-9,5.757052389176742E-5,4.604305650126715E-9,15.41951200409835,13.610059112529681,0.0,0.0,27.9228515625,23.220664978027344
carfing,1,1,48,title,1.3415532918435546E-9,5.757052389176742E-5,4.604305650126715E-9,15.38913835505483,13.610059112529681,0.0,0.0,27.86279296875,23.220664978027344
norikazu,1,1,51,title,1.4254003725837767E-9,5.757052389176742E-5,4.604305650126715E-9,15.301675513804492,13.610059112529681,0.0,0.0,27.68994140625,23.220664978027344
olieperikelen,1,1,52,title,1.4533493994971842E-9,5.757052389176742E-5,4.604305650126715E-9,15.27366113763489,13.610059112529681,0.0,0.0,27.634765625,23.220664978027344
choin,1,1,67,title,1.872584803198295E-9,5.757052389176742E-5,4.604305650126715E-9,14.908011665318211,13.610059112529681,0.0,0.0,26.90869140625,23.220664978027344
sleutelfactor,1,1,77,title,2.152075072332369E-9,5.757052389176742E-5,4.604305650126715E-9,14.707314315081087,13.610059112529681,0.0,0.0,26.5107421875,23.220664978027344
