ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
amsterdam,598,195093,34578073,title,9.664234928907653E-4,0.039707835325365204,8.982678022001711E-4,5.360624378472866,5.466134281818989,50.41963176689001,49.446408241780894,4760.896484375,4881.72767829895
lockheed,416,7015,95063,title,2.6569183454692464E-6,0.027622841965471448,3.2299204135638904E-5,13.343820247449315,9.740147426201975,84.7435655274774,116.09710367264333,9915.95947265625,6886.753067016602
beurs,332,13159,2386711,title,6.670624997352546E-5,0.022045152722443558,6.058805805001744E-5,8.368423816652854,8.507212290740588,71.24823838579161,70.08587944269037,4612.09033203125,4692.1333084106445
effektenbeurs,278,25,7184,title,2.0078580934591868E-7,0.01845949535192563,1.1510764125316786E-7,16.488346277796808,17.291019979516932,140.38477230098277,133.86791181609226,8357.5166015625,7440.130058288574
ind,195,76427,3162383,title,8.838552757750199E-5,0.012948207171314742,3.518932679222344E-4,7.194726479434435,5.201470629618405,39.56930519677437,54.7326608461386,2250.72509765625,1483.997854232788
prins,170,26383,5756129,title,1.6087820433804476E-4,0.011288180610889775,1.2147539596729312E-4,6.132700282101045,6.5380050309838875,48.44263521699472,45.43957388424861,1604.2861328125,1738.8604049682617
commissie,129,31163,9182343,title,2.5663755163513795E-4,0.008565737051792829,1.4348397697489882E-4,5.060773201992564,5.899615846976001,41.36354742284509,35.48223100732588,946.119140625,1156.9224262237549
can,125,19461,956185,title,2.6724440299196442E-5,0.008300132802124834,8.9604392257116E-5,8.278830876225435,6.533421157030724,45.510402420723416,57.668550012986394,1711.6630859375,1276.9129543304443
wall,115,3329,250065,title,6.989073415101218E-6,0.0076361221779548474,1.5327733509271833E-5,10.093523269478663,8.960551992372256,61.33936951475408,69.09511312019173,1991.18603515625,1725.3946475982666
street,112,4123,351605,title,9.827017607888605E-6,0.007436918990703851,1.8983552195472444E-5,9.563735700958722,8.613811272737685,58.63727056514615,65.10374329717938,1820.69091796875,1604.0256729125977
donner,106,2017,233215,title,6.518132311610304E-6,0.007038512616201859,9.286884496305583E-6,10.076596236678327,9.565860182518382,64.35834638745708,67.79453793312267,1831.6787109375,1715.7121982574463
pow,101,2529,64189,title,1.7940200885447067E-6,0.006706507304116866,1.1644288989170461E-5,11.868149857587506,9.1697952576567,61.0544360790128,79.02065166080821,2106.76953125,1556.6330661773682
cont,99,8247,606605,title,1.6954019470807488E-5,0.006573705179282869,3.797170869659501E-5,8.598935595893654,7.435638024413644,49.29349616166226,57.005410618275796,1418.58544921875,1187.4948406219482
