ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
arabysk,1,13,55,title,1.5371964802374063E-9,6.993006993006993E-4,4.817655715017283E-8,18.79525184418333,13.82529402974398,0.0,0.0,34.6796875,24.658185958862305
lunstime,1,1,58,title,1.6210435609776284E-9,6.993006993006993E-4,3.7058890115517563E-9,18.718630562580415,17.525733747885074,0.0,0.0,34.52783203125,31.052507400512695
malteesk,1,63,63,title,1.7607886955446655E-9,6.993006993006993E-4,2.3347100772776066E-7,18.599331634208074,11.548453824385156,0.0,0.0,34.2919921875,20.190719604492188
naslagboek,1,3,68,title,1.9005338301117022E-9,6.993006993006993E-4,1.111766703465527E-8,18.48914871645765,15.940771247163916,0.0,0.0,34.07177734375,28.56231117248535
verhagencadabra,1,73,76,title,2.1241260454189614E-9,6.993006993006993E-4,2.7052989784327823E-7,18.328684044264403,11.335909189005054,0.0,0.0,33.75390625,19.76889419555664
klinkenbergs,1,5,94,title,2.6272085298602945E-9,6.993006993006993E-4,1.8529445057758783E-8,18.02202270603035,15.203805652997708,0.0,0.0,33.14453125,27.252300262451172
omdien,1,1,95,title,2.6551575567737016E-9,6.993006993006993E-4,3.7058890115517563E-9,18.00675594937704,17.525733747885074,0.0,0.0,33.11376953125,31.052507400512695
partijveteraan,1,1,109,title,3.046443933561405E-9,6.993006993006993E-4,3.7058890115517563E-9,17.808427232931063,17.525733747885074,0.0,0.0,32.71923828125,31.052507400512695
jonens,1,3,132,title,3.6892715525697752E-9,6.993006993006993E-4,1.111766703465527E-8,17.532217438349534,15.940771247163916,0.0,0.0,32.1689453125,28.56231117248535
cadabra,1,65,145,title,4.0526089024440716E-9,6.993006993006993E-4,2.408827857508642E-7,17.39670246769305,11.503365934856618,0.0,0.0,31.8994140625,20.101276397705078
lotenverkoper,1,7,155,title,4.332099171578145E-9,6.993006993006993E-4,2.5941223080862294E-8,17.30048715243375,14.718378825827468,0.0,0.0,31.70654296875,26.355566024780273
lcommentaar,1,17,191,title,5.338264140460811E-9,6.993006993006993E-4,6.300011319637986E-8,16.99918272967224,13.438270906634731,0.0,0.0,31.10595703125,23.909189224243164
citaartjes,1,5,199,title,5.56185635576807E-9,6.993006993006993E-4,1.8529445057758783E-8,16.93998693716434,15.203805652997708,0.0,0.0,30.98828125,27.252300262451172
donderpreken,1,5,289,title,8.077268777974734E-9,6.993006993006993E-4,1.8529445057758783E-8,16.40168587520731,15.203805652997708,0.0,0.0,29.91357421875,27.252300262451172
jeugdfront,2,195,929,title,2.5964646002555463E-8,0.0013986013986013986,7.226483572525925E-7,15.717076771325338,10.918403434135463,10.918403434135463,15.717076771325338,57.09521484375,37.88038635253906
jachtwild,1,21,770,title,2.1520750723323687E-8,6.993006993006993E-4,7.782366924258689E-8,14.987896922125724,13.13341632510631,0.0,0.0,27.08935546875,23.315153121948242
treife,1,7,880,title,2.45951436837985E-8,6.993006993006993E-4,2.5941223080862294E-8,14.79525184418333,14.718378825827468,0.0,0.0,26.70458984375,26.355566024780273
rkwv,1,19,934,title,2.61043911371225E-8,6.993006993006993E-4,7.041189121948337E-8,14.709332817998327,13.277806234441488,0.0,0.0,26.53271484375,23.59690284729004
was't,1,35,1073,title,2.998930587808613E-8,6.993006993006993E-4,1.2970611540431146E-7,14.509177196951466,12.396450730940106,0.0,0.0,26.13232421875,21.86823844909668
ambtenarenverbod,2,15,2207,title,6.16835023978901E-8,0.0013986013986013986,5.5588335173276344E-8,14.468740643428372,14.618843152276558,14.618843152276558,14.468740643428372,52.10546875,52.340213775634766
trijfel,1,179,1166,title,3.258856538103301E-8,6.993006993006993E-4,6.633541330677644E-7,14.389259484507491,10.041917970620815,0.0,0.0,25.89306640625,17.19415855407715
scholtenshuis,1,87,1225,title,3.423755796892405E-8,6.993006993006993E-4,3.224123440050028E-7,14.318045523818054,11.082790252036343,0.0,0.0,25.75048828125,19.266023635864258
nsb,29,779,36327,title,1.0153043006833502E-6,0.02027972027972028,2.8868875399988183E-6,14.28583794499022,12.778235224950976,62.07642387408154,69.40032923623482,745.72705078125,656.7891616821289
lears,1,7,1312,title,3.666912331039049E-8,6.993006993006993E-4,2.5941223080862294E-8,14.219059553089902,14.718378825827468,0.0,0.0,25.5537109375,26.355566024780273
oorlogspact,1,5,1424,title,3.979941432469212E-8,6.993006993006993E-4,1.8529445057758783E-8,14.100878126741591,15.203805652997708,0.0,0.0,25.31689453125,27.252300262451172
ostaijen,1,75,1454,title,4.063788513209434E-8,6.993006993006993E-4,2.779416758663817E-7,14.070800003788392,11.296915057389192,0.0,0.0,25.25634765625,19.691457748413086
rondblik,4,337,6108,title,1.7071265638709233E-7,0.002797202797202797,1.248884596892942E-6,14.00012721091114,11.129128966703215,22.25825793340643,28.00025442182228,100.4716796875,77.44459915161133
neuhauser,1,629,1546,title,4.320919560812782E-8,6.993006993006993E-4,2.331004188266055E-6,13.982286953783142,8.228817541005782,0.0,0.0,25.07958984375,13.580585479736328
dagweek,1,11,1634,title,4.566870997650767E-8,6.993006993006993E-4,4.076477912706932E-8,13.902419289562303,14.066302129247774,0.0,0.0,24.919921875,25.121055603027344
voetbalprogramma,3,61,4976,title,1.3907435792111515E-7,0.002097902097902098,2.2605922970465715E-7,13.880803288298544,13.179958911043347,20.88974063504935,22.00055269184011,74.634765625,70.22419166564941
oorlogsboek,1,21,1813,title,5.0671585794007595E-8,6.993006993006993E-4,7.782366924258689E-8,13.752448347963831,13.13341632510631,0.0,0.0,24.6201171875,23.315153121948242
opzwepen,1,39,2098,title,5.86370584643287E-8,6.993006993006993E-4,1.445296714505185E-7,13.541812595130718,12.240331529022825,0.0,0.0,24.1982421875,21.56021499633789
bommeldingen,1,95,2102,title,5.874885457198233E-8,6.993006993006993E-4,3.5205945609741686E-7,13.53906460374581,10.955878139554127,0.0,0.0,24.193359375,19.013708114624023
riod,2,615,4213,title,1.1774925038618532E-7,0.0013986013986013986,2.27912174210433E-6,13.535979357145731,9.261291147658472,9.261291147658472,13.535979357145731,48.37646484375,31.27846908569336
gnuift,1,7,2149,title,6.006245883691247E-8,6.993006993006993E-4,2.5941223080862294E-8,13.507161790280204,14.718378825827468,0.0,0.0,24.1298828125,26.355566024780273
geflikt,2,119,4509,title,1.260221623525539E-7,0.0013986013986013986,4.41000792374659E-7,13.438019763070468,11.630915984577129,11.630915984577129,13.438019763070468,47.984375,40.71054267883301
tachtich,1,39,2309,title,6.453430314305766E-8,6.993006993006993E-4,1.445296714505185E-7,13.403559099933872,12.240331529022825,0.0,0.0,23.921875,21.56021499633789
drugsprobleem,1,49,2483,title,6.939743382599054E-8,6.993006993006993E-4,1.8158856156603606E-7,13.298743011531148,11.911023903769863,0.0,0.0,23.712890625,20.90918731689453
kunstcollectie,1,29,2613,title,7.303080732473351E-8,6.993006993006993E-4,1.0747078133500093E-7,13.225120148387965,12.667752752757501,0.0,0.0,23.56494140625,22.402395248413086
teamwerk,1,51,2715,title,7.588160806990106E-8,6.993006993006993E-4,1.8900033958913958E-7,13.169875075016265,11.853308405913577,0.0,0.0,23.45556640625,20.794925689697266
luns,68,3191,187611,title,5.243544888251273E-6,0.04755244755244755,1.1825491835861654E-5,13.146689506155397,11.9734036958561,72.88765008181349,80.02998385417676,1596.46826171875,1434.8887901306152
samengeknepen,1,19,2803,title,7.834112243828091E-8,6.993006993006993E-4,7.041189121948337E-8,13.123855528675495,13.277806234441488,0.0,0.0,23.3623046875,23.59690284729004
oorlogsgeschiedenis,1,35,2845,title,7.951498156864402E-8,6.993006993006993E-4,1.2970611540431146E-7,13.102398620514045,12.396450730940106,0.0,0.0,23.31982421875,21.86823844909668
korat,1,7,2880,title,8.049319751061328E-8,6.993006993006993E-4,2.5941223080862294E-8,13.084758461378314,14.718378825827468,0.0,0.0,23.28515625,26.355566024780273
gorde,1,5,2897,title,8.09683309681412E-8,6.993006993006993E-4,1.8529445057758783E-8,13.076267588437585,15.203805652997708,0.0,0.0,23.26806640625,27.252300262451172
rassistische,1,253,2954,title,8.256142550220542E-8,6.993006993006993E-4,9.375899199225943E-7,13.0481574469432,9.542740173190762,0.0,0.0,23.2109375,16.199283599853516
oorlogsmisdrijven,1,155,3086,title,8.62506970547752E-8,6.993006993006993E-4,5.744127967905222E-7,12.98508921113725,10.249609342610835,0.0,0.0,23.08544921875,17.607933044433594
churchil,1,5,3707,title,1.0360704276800119E-7,6.993006993006993E-4,1.8529445057758783E-8,12.720575157888835,15.203805652997708,0.0,0.0,22.556640625,27.252300262451172
voetnoten,1,93,3874,title,1.0827453026254022E-7,6.993006993006993E-4,3.446476780743133E-7,12.657003319104735,10.98657493677704,0.0,0.0,22.4296875,19.074745178222656
ingelsk,1,133,3961,title,1.1070609560400666E-7,6.993006993006993E-4,4.928832385363836E-7,12.624962571803366,10.470451312383883,0.0,0.0,22.36572265625,18.047746658325195
verzetsorganisatie,1,35,4023,title,1.1243893527263792E-7,6.993006993006993E-4,1.2970611540431146E-7,12.602555535082356,12.396450730940106,0.0,0.0,22.3212890625,21.86823844909668
izvestia,2,65,8227,title,2.2993664441660258E-7,0.0013986013986013986,2.408827857508642E-7,12.570460829537677,12.503365934856618,12.503365934856618,12.570460829537677,44.515625,44.159860610961914
extremist,1,81,4165,title,1.1640769709434177E-7,6.993006993006993E-4,3.0017700993569224E-7,12.552510777455076,11.18588374500045,0.0,0.0,22.22021484375,19.47089958190918
bezettingsjaren,3,137,12667,title,3.5403032391213135E-7,0.002097902097902098,5.077067945825906E-7,12.532786795885201,12.012664165645706,19.03962223630524,19.863997101011297,66.5498046875,63.336944580078125
vervolgingsbeleid,1,173,4652,title,1.3001887320117116E-7,6.993006993006993E-4,6.411187989984538E-7,12.392976176234772,10.091105520248348,0.0,0.0,21.90185546875,17.292163848876953
militant,2,123,9348,title,2.6126750358653226E-7,0.0013986013986013986,4.55824348420866E-7,12.386169538925163,11.58321924254583,11.58321924254583,12.386169538925163,43.77783203125,40.52137565612793
dodde,1,21,4840,title,1.3527329026089175E-7,6.993006993006993E-4,7.782366924258689E-8,12.33582022554603,13.13341632510631,0.0,0.0,21.787109375,23.315153121948242
