ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
luns,68,3191,187611,title,5.243544888251273E-6,0.05918189730200174,1.1825491835861654E-5,13.462325855175036,12.289040044875739,74.80907462781848,81.95140840018173,1640.57373046875,1478.9887237548828
nsb,29,779,36327,title,1.0153043006833502E-6,0.025239338555265448,2.8868875399988183E-6,14.601474294009858,13.093871573970613,63.6097792589904,70.93368462114368,764.2431640625,675.3043441772461
navo,13,8495,209167,title,5.846014112396683E-6,0.011314186248912098,3.148152715313217E-5,10.918391892975887,8.489411582974222,31.414555805284856,40.40285101899767,246.59912109375,183.50230026245117
lid,10,55471,7464739,title,2.0863219121256175E-4,0.008703220191470844,2.0556936935978748E-4,5.382515613992406,5.40385207844987,17.95120804001809,17.880329839291274,79.607421875,80.02225112915039
lidmaatschap,8,3629,513948,title,1.43643464840919E-5,0.006962576153176675,1.3448671222921324E-5,8.92098503383893,9.016013755425378,27.048041266276137,26.762955101516788,119.7802734375,121.27259635925293
kamer,8,94995,12264089,title,3.427693535294235E-4,0.006962576153176675,3.520409266523591E-4,4.344311170788959,4.305806137227881,12.917418411683643,13.032933512366878,47.634765625,47.04865264892578
jong,8,58177,5840431,title,1.6323436320489883E-4,0.006962576153176675,2.1559750502504654E-4,5.414604499356578,5.013208814122843,15.039626442368528,16.243813498069734,64.16796875,57.91715049743652
broer,7,15803,1093025,title,3.054898514202711E-5,0.006092254134029591,5.85641640495524E-5,7.639707860314415,6.700814177575012,18.811563663208588,21.44737146473584,86.92041015625,73.8639144897461
aftreden,6,3511,527439,title,1.474140680618068E-5,0.005221932114882507,1.3011376319558216E-5,8.468565681820191,8.648666316745114,22.35647811003628,21.890924722399284,84.40478515625,86.5451431274414
agt,5,17373,565715,title,1.581118376031826E-5,0.004351610095735422,6.438240979768866E-5,8.104460102460036,6.078738909581162,14.114394655641469,18.817973605795668,66.701171875,46.60238456726074
onderzoek,5,53441,6812424,title,1.904006217215424E-4,0.004351610095735422,1.980464146663374E-4,4.5144392022566,4.457638808144303,10.350316785490472,10.48220321638049,31.37744140625,30.834054946899414
zaterdag,5,124163,9742144,title,2.722834448502903E-4,0.004351610095735422,4.6013429734130073E-4,3.99836812427664,3.241422396205703,7.526349729147136,9.283923281460014,26.48681640625,19.537677764892578
den,5,239831,295652905,title,0.008263210998872077,0.004351610095735422,8.887870675294693E-4,-0.9251532101606363,2.2916395671280956,5.3210222942702385,-2.148139230747214,3.7421875,11.455877304077148
nederland,5,185119,16676475,title,4.6609124859576547E-4,0.004351610095735422,6.860304679294495E-4,3.2228649669336207,2.6652047411147315,6.188413767021294,7.483260712751403,19.37109375,14.52168083190918
