ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
oit6,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
onderbe.wustc,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
ttmnj,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
vmianocns,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
contributiebetaler,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
persoonsverwarring,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
gafmijpp,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
chazer,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
oostblokpers,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
verhagencadabra,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
vrijwillg,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
navochef,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
malteesk,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
repubblika,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
omdien,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
aavullingen,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
uitkeringsdrama,1,5.160779705048022E-8,0.0031847133757961785,2.2993791676247413E-6,15.913214961685272,10.435703434347166
benoemingswijze,1,1.0321559410096044E-7,0.0031847133757961785,2.2993791676247413E-6,14.913214961685275,10.435703434347166
wandelsportclub,1,1.0321559410096044E-7,0.0031847133757961785,2.2993791676247413E-6,14.913214961685275,10.435703434347166
offisjéle,1,1.0321559410096044E-7,0.0031847133757961785,2.2993791676247413E-6,14.913214961685275,10.435703434347166
jonens,1,1.5482339115144065E-7,0.0031847133757961785,2.2993791676247413E-6,14.328252460964118,10.435703434347166
nsb’er,1,1.5482339115144065E-7,0.0031847133757961785,2.2993791676247413E-6,14.328252460964118,10.435703434347166
unieleider,1,1.5482339115144065E-7,0.0031847133757961785,2.2993791676247413E-6,14.328252460964118,10.435703434347166
ssarts,1,1.5482339115144065E-7,0.0031847133757961785,2.2993791676247413E-6,14.328252460964118,10.435703434347166
arabysk,1,1.5482339115144065E-7,0.0031847133757961785,2.2993791676247413E-6,14.328252460964118,10.435703434347166
klinkenbergs,1,1.5482339115144065E-7,0.0031847133757961785,2.2993791676247413E-6,14.328252460964118,10.435703434347166
lunstime,1,2.0643118820192087E-7,0.0031847133757961785,2.2993791676247413E-6,13.913214961685275,10.435703434347166
vprouitzending,1,2.0643118820192087E-7,0.0031847133757961785,2.2993791676247413E-6,13.913214961685275,10.435703434347166
samengeknepen,1,2.5803898525240107E-7,0.0031847133757961785,2.2993791676247413E-6,13.591286866797914,10.435703434347166
partijveteraan,1,2.5803898525240107E-7,0.0031847133757961785,2.2993791676247413E-6,13.591286866797914,10.435703434347166
neuhauser,1,3.612545793533615E-7,0.0031847133757961785,2.2993791676247413E-6,13.10586003962767,10.435703434347166
donderpreken,1,4.1286237640384175E-7,0.0031847133757961785,2.2993791676247413E-6,12.913214961685275,10.435703434347166
zigeunerprobleem,1,4.1286237640384175E-7,0.0031847133757961785,2.2993791676247413E-6,12.913214961685275,10.435703434347166
reformistische,1,4.6447017345432197E-7,0.0031847133757961785,2.2993791676247413E-6,12.74328996024296,10.435703434347166
lears,1,4.6447017345432197E-7,0.0031847133757961785,2.2993791676247413E-6,12.74328996024296,10.435703434347166
jachtwild,1,5.160779705048021E-7,0.0031847133757961785,2.2993791676247413E-6,12.591286866797914,10.435703434347166
opzwepen,1,6.709013616562429E-7,0.0031847133757961785,2.2993791676247413E-6,12.212775243544181,10.435703434347166
aanvraagformulier,1,7.741169557572033E-7,0.0031847133757961785,2.2993791676247413E-6,12.006324366076756,10.435703434347166
gnuift,1,7.741169557572033E-7,0.0031847133757961785,2.2993791676247413E-6,12.006324366076756,10.435703434347166
treife,1,7.741169557572033E-7,0.0031847133757961785,2.2993791676247413E-6,12.006324366076756,10.435703434347166
loens,1,8.773325498581637E-7,0.0031847133757961785,2.2993791676247413E-6,11.825752120434936,10.435703434347166
drogerijen,1,8.773325498581637E-7,0.0031847133757961785,2.2993791676247413E-6,11.825752120434936,10.435703434347166
dútske,1,8.773325498581637E-7,0.0031847133757961785,2.2993791676247413E-6,11.825752120434936,10.435703434347166
cda’er,1,9.289403469086439E-7,0.0031847133757961785,2.2993791676247413E-6,11.74328996024296,10.435703434347166
nsb,29,3.127432501259101E-5,0.09235668789808917,6.66819958611175E-5,11.528021973339893,10.435703434347166
oorlogspact,1,1.2901949262620055E-6,0.0031847133757961785,2.2993791676247413E-6,11.269358771910548,10.435703434347166
erb,1,1.8062728967668076E-6,0.0031847133757961785,2.2993791676247413E-6,10.783931944740308,10.435703434347166
