ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
recessie,104,3125,49431,title,1.3815483493566407E-6,0.013511757827725087,1.2842374255906158E-5,13.255641703188191,10.039087712779802,67.26630204461199,88.81862815748958,2458.84375,1785.4381122589111
wall,39,3461,250065,title,6.989073415101218E-6,0.0050669091853969075,1.4223186335901188E-5,9.501789054989471,8.476717461772319,44.80286128111978,50.22077695440238,629.0400390625,548.6254997253418
economie,55,11557,658935,title,1.8416592049186096E-5,0.007145641158893075,4.749418216816239E-5,8.59991353748753,7.233168855629317,41.8175510230566,49.719193665425756,788.26123046875,638.1957092285156
street,39,4081,351605,title,9.827017607888605E-6,0.0050669091853969075,1.677111338827297E-5,9.0101366153563,8.238983692679666,43.54634269045899,47.62219605905618,590.7568359375,530.2342262268066
herstel,60,8571,1481910,title,4.141794247324754E-5,0.0077952449006106275,3.5223036719158934E-5,7.55619465176757,7.789931243026511,46.01427159987028,44.633615127113245,735.205078125,762.5219421386719
oeso,14,839,25233,title,7.052377961060086E-7,0.0018188904768091465,3.447920640225685E-6,11.332661258610235,9.043116390693301,34.430353700845934,43.1474636229812,276.9599609375,212.5910987854004
werkloosheid,34,12761,828769,title,2.3163287085997727E-5,0.004417305443679355,5.244209212147791E-5,7.575182784013407,6.396297542229123,32.54092606767154,38.53846092934751,417.73583984375,338.0940341949463
wisborg,6,59,1111,title,3.105136890079561E-8,7.795244900610628E-4,2.4246402595150827E-7,14.61564985673945,11.650607920434835,30.116384584928937,37.78090680334201,158.03515625,121.65575218200684
imf,14,2051,75815,title,2.118955475439981E-6,0.0018188904768091465,8.42870707163633E-6,9.745489686021907,7.753531614653271,29.52044675637937,37.10453812393712,232.5576171875,176.7907543182373
olieprijs,9,699,19957,title,5.577787301108712E-7,0.0011692867350915942,2.8725822735610892E-6,11.033648212854143,8.669064825142396,27.48028532834301,34.97583732704564,172.658203125,129.9879207611084
telegraaf,30,11005,1032952,title,2.887000324825799E-5,0.0038976224503053138,4.522570517959912E-5,7.0768792681827595,6.429307539905118,31.54790870383536,34.72547232730288,338.857421875,300.2510223388672
duisenberg,9,3225,32547,title,9.096569789506702E-7,0.0011692867350915942,1.3253330232095155E-5,10.328018509322114,6.4631300253198525,20.487637454833887,32.73904408805913,159.9677734375,90.64163398742676
somber,16,2355,260234,title,7.273287069783658E-6,0.0020787319734961673,9.67801323925088E-6,8.158880518121197,7.746777124575377,30.98710849830151,32.63552207248479,215.12548828125,201.83811950683594
winst,36,27917,2816477,title,7.87177914739929E-5,0.004677146940366377,1.147265798726823E-4,5.89279519928001,5.349357175125166,27.65577540132442,30.465309229136956,322.3896484375,283.9954414367676
cgtc,5,225,2638,title,7.372953299756868E-8,6.496037417175523E-4,9.246509464252433E-7,13.105029703043204,9.456435372745844,21.95716296946522,30.4289366518294,116.615234375,80.00394439697266
winstdaling,6,565,8543,title,2.3876853692123933E-7,7.795244900610628E-4,2.3219012654678332E-6,11.6727658910799,8.391143912494124,21.690792351951917,30.17366210813851,122.76611328125,83.3486099243164
fors,12,3395,171647,title,4.797366622605638E-6,0.0015590489801221255,1.395195539161645E-5,8.34420784121127,6.804055110664583,24.39228242457267,29.91367220896584,165.76806640625,128.94899368286133
hendriks,18,6297,598729,title,1.673389293483749E-5,0.0023385734701831884,2.5877897820621142E-5,7.126711834193994,6.497764518504521,27.095190719196772,29.717853855480335,205.0546875,182.54413032531738
opleving,12,2077,183443,title,5.127053344076191E-6,0.0015590489801221255,8.53555562544547E-6,8.248320629843702,7.512965468952027,26.933699475405955,29.569920151914385,163.4736328125,145.8040256500244
kleijn,8,197,41807,title,1.1684649681688227E-6,0.0010393659867480836,8.095832730923242E-7,9.79687355613116,10.326236649619144,30.978709948857432,29.39062066839348,133.70263671875,141.70488357543945
inflatie,13,8103,249137,title,6.963136718125576E-6,0.001688969728465636,3.329976275059443E-5,7.9221904051349465,5.664487761986489,20.96109549737895,29.315588029837627,168.6513671875,110.50771903991699
thv,7,1535,30942,title,8.647987907546514E-7,9.094452384045733E-4,6.308174234501104E-6,10.038406548544616,7.171620450875581,20.13328397189454,28.181370033672014,120.36572265625,80.30876541137695
opec,7,1701,37018,title,1.0346170782805146E-6,9.094452384045733E-4,6.9903611549748396E-6,9.77974604819776,7.023475965469737,19.717389821614752,27.455218204881383,116.748046875,78.25436401367188
hoofdartikel,10,675,199882,title,5.586507397505695E-6,0.0012992074834351046,2.77395283927573E-6,7.861469519131944,8.87147287202469,29.470394976609896,26.11523646270505,128.517578125,148.4440631866455
duitsland,23,32687,1995138,title,5.576216565796179E-5,0.0029881772119007407,1.3432917993689748E-4,5.74383530569758,4.475421072385261,20.244844500377848,25.982594870710678,199.18603515625,142.5579376220703
dieptepunt,7,1517,56320,title,1.574089195763104E-6,9.094452384045733E-4,6.234202158787085E-6,9.174325665940328,7.18863802088609,20.181058330825,25.755588314836988,108.28515625,80.54482650756836
groei,16,10239,863361,title,2.4130099824986315E-5,0.0020787319734961673,4.2077782401991404E-5,6.428726058549001,5.626501269255499,22.506005077021996,25.714904234196005,160.134765625,134.82778549194336
economische,28,35831,3249892,title,9.083131897366736E-5,0.003637780953618293,1.4724963582827953E-4,5.323725034662287,4.626722703594369,22.242298162120054,25.59303574906503,219.49365234375,181.68220901489258
optimistisch,10,2725,223260,title,6.239899748687333E-6,0.0012992074834351046,1.119855035115017E-5,7.701893281560459,6.858176049411231,22.78236769822279,25.58513567583991,125.33984375,108.5247859954834
eeg,10,7659,223301,title,6.241045658790783E-6,0.0012992074834351046,3.147511821631528E-5,7.701628365919177,5.367276240834608,17.829705737449913,25.584255645128362,125.33447265625,79.19057655334473
werklozen,10,6175,224246,title,6.267457489223953E-6,0.0012992074834351046,2.5376531529670568E-5,7.695535826633719,5.677993142603478,18.86188494299228,25.564016667706795,125.21337890625,85.26512718200684
focus,6,765,29910,title,8.35955394980015E-7,7.795244900610628E-4,3.1438132178458275E-6,9.864952668121829,7.953935032216661,20.56062379145239,25.500532718484042,101.0908203125,78.14422798156738
verlies,24,14311,2411305,title,6.73936283414338E-5,0.003118097960244251,5.881190975240737E-5,5.531910243397876,5.728414104441583,26.26456385746683,25.36360102333451,197.8818359375,207.06883430480957
scheepsbouw,10,2375,250813,title,7.009979287232447E-6,0.0012992074834351046,9.76020443448868E-6,7.534005950812588,7.056504765857209,23.441201433407635,25.027426035052915,121.99951171875,112.45167541503906
lubbers,11,5897,352434,title,9.85018735119982E-6,0.001429128231778615,2.4234073915865157E-5,7.180768491012255,5.881954608890901,20.348219753386562,24.841377563922233,126.4775390625,98.19526100158691
cindu,5,423,14322,title,4.002859634538206E-7,6.496037417175523E-4,1.7383437792794576E-6,10.664313200491815,8.545702710842932,19.842507214861296,24.76176843290011,92.22705078125,70.98887062072754
uyl,10,19627,288453,title,8.061980660253101E-6,0.0012992074834351046,8.065832944661445E-5,7.332281809908384,4.009664511654236,13.319817192337023,24.35731294396622,117.98828125,53.140750885009766
toerisme,9,4027,205950,title,5.756102092816251E-6,0.0011692867350915942,1.654919716113091E-5,7.666320858206717,6.14272371357208,19.471973476604703,24.301662157508158,112.16748046875,84.95463943481445
