ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
recessie,104,3125,49431,title,1.3815483493566407E-6,0.016669338034941496,1.2842374255906158E-5,13.558623141060993,10.342069150652604,69.29641090479441,90.84873701767201,2522.3369140625,1848.8810138702393
herstel,60,8571,1481910,title,4.141794247324754E-5,0.009616925789389325,3.5223036719158934E-5,7.859176089640372,8.092912680899314,47.80394980588508,46.42329333312804,771.54736328125,798.8891086578369
economie,55,11557,658935,title,1.8416592049186096E-5,0.008815515306940214,4.749418216816239E-5,8.902894975360333,7.536150293502119,43.569195701920194,51.47083834428935,821.64501953125,671.456127166748
jaar,47,466859,49123755,title,0.0013729611505826308,0.007533258535021638,0.0019185849608761897,2.455983238796657,1.9732313888922466,10.960489074521254,13.641977118127048,120.3076171875,84.68972206115723
wall,39,3461,250065,title,6.989073415101218E-6,0.006251001763103062,1.4223186335901188E-5,9.804770492862275,8.779698899645123,46.40424004512678,51.82215571840937,652.71044921875,572.2644176483154
street,39,4081,351605,title,9.827017607888605E-6,0.006251001763103062,1.677111338827297E-5,9.313118053229104,8.54196513055247,45.14772145446598,49.223574823063174,614.4150390625,553.8624248504639
winst,36,27917,2816477,title,7.87177914739929E-5,0.005770155473633595,1.147265798726823E-4,6.195776637152812,5.652338612997968,29.222166711955957,32.031700539768494,343.9306640625,305.3837890625
goed,36,244443,28425027,title,7.944518446373317E-4,0.005770155473633595,0.00100455311687567,2.860578513024133,2.5220563418001776,13.038842136518875,14.788976373072137,116.61279296875,95.99765968322754
werkloosheid,34,12761,828769,title,2.3163287085997727E-5,0.005449591280653951,5.244209212147791E-5,7.878164221886209,6.699278980101925,34.082332874438016,40.07986773611399,438.2919921875,358.52636909484863
telegraaf,30,11005,1032952,title,2.887000324825799E-5,0.004808462894694662,4.522570517959912E-5,7.379860706055562,6.7322889777779205,33.034605471977365,36.21216909544488,356.9541015625,318.27866554260254
verwacht,30,32953,4700407,title,1.3137180174696848E-4,0.004808462894694662,1.3542232283356018E-4,5.19384823893179,5.150038310638862,25.270674553497415,25.485645078632267,227.63134765625,225.03814697265625
economische,28,35831,3249892,title,9.083131897366736E-5,0.004487898701715018,1.4724963582827953E-4,5.626706472535089,4.929704141467171,23.69883746876996,27.049575055714936,236.11328125,198.063627243042
ford,27,185259,4768093,title,1.3326355958262937E-4,0.004327616605225197,7.61332931927974E-4,5.021218452778654,2.5069733033990866,11.920376028589784,23.87532886674981,195.7978515625,71.2873477935791
miljoen,25,75823,3590097,title,1.0033971767474312E-4,0.0040070524122455525,3.115991498257832E-4,5.319576691312377,3.684778178107675,17.11157995035216,24.70334914493233,195.78759765625,117.8265438079834
verlies,24,14311,2411305,title,6.73936283414338E-5,0.00384677031575573,5.881190975240737E-5,5.834891681270678,6.031395542314385,27.6537223885282,26.752759554395883,212.1669921875,221.38940238952637
duitsland,23,32687,1995138,title,5.576216565796179E-5,0.003686488219265908,1.3432917993689748E-4,6.046816743570382,4.778402510258063,21.615399806130707,27.353150176463533,212.91259765625,155.95277786254883
japan,22,11601,3435985,title,9.603243723906408E-5,0.003526206122776086,4.7675002797685545E-5,5.198451206275504,6.208739975781654,27.687451359898077,23.182137677208182,167.08740234375,210.6147289276123
geld,22,91377,9023303,title,2.5219253839482963E-4,0.003526206122776086,3.755192423622198E-4,3.805519312725332,3.2311580678602354,14.409128452630931,16.970453148502223,108.6005859375,85.53582572937012
nieuwe,21,219251,30722021,title,8.586505917632669E-4,0.0033659240262862637,9.010250873541379E-4,1.9708595292345148,1.9013634324982505,8.351391731596493,8.656640648106306,37.697265625,35.537506103515625
minder,19,57235,10275385,title,2.8718701191062255E-4,0.0030453598333066195,2.3521065297177246E-4,3.4065502944315575,3.694587395861678,15.694339449702708,14.470778721645159,79.86474609375,89.86957550048828
regering,18,84635,6799019,title,1.900259650157682E-4,0.0028850777368167975,3.478125904475576E-4,3.9243417260254496,3.052228129275308,12.727562386370606,16.364210677556798,92.8251953125,64.25824165344238
nederland,18,164869,16676475,title,4.6609124859576547E-4,0.0028850777368167975,6.775390083830375E-4,2.629925862041132,2.090234276843967,8.71612016988335,10.966593604065041,51.18310546875,35.550703048706055
hendriks,18,6297,598729,title,1.673389293483749E-5,0.0028850777368167975,2.5877897820621142E-5,7.429693272066796,6.800745956377323,28.358600591955508,30.98126372823907,215.90673828125,193.35650634765625
weer,17,180819,24468357,title,6.838667683198601E-4,0.0027247956403269754,7.430864865851825E-4,1.9943608416631253,1.8745459933230375,7.662137091922624,8.151875832342778,31.1044921875,28.094114303588867
gaat,16,127075,12477695,title,3.487394333722888E-4,0.0025645135438371533,5.22222306742168E-4,2.8784637807788602,2.2959492017251524,9.18379680690061,11.513855123115441,52.26708984375,36.74089813232422
landen,16,50321,6262877,title,1.750413178283601E-4,0.0025645135438371533,2.067971567780652E-4,3.8729177805966852,3.632396935056354,14.529587740225416,15.491671122386741,80.9697265625,73.83709526062012
grote,16,282477,12768017,title,3.5685365076384306E-4,0.0025645135438371533,0.001160856112859393,2.8452807535154783,1.1434960281227475,4.57398411249099,11.381123014061913,51.3505859375,11.340679168701172
wereld,16,54469,6722525,title,1.87888032151054E-4,0.0025645135438371533,2.238436106703848E-4,3.7707401106947636,3.518122146511759,14.072488586047037,15.082960442779054,77.9306640625,70.48700523376465
olie,16,24395,2313463,title,6.465903965017219E-5,0.0025645135438371533,1.0025271039130583E-4,5.309689300380393,4.676972044134931,18.707888176539726,21.238757201521572,124.96337890625,105.34234237670898
somber,16,2355,260234,title,7.273287069783658E-6,0.0025645135438371533,9.67801323925088E-6,8.461861955994,8.04975856244818,32.19903424979272,33.847447823976,224.80224609375,211.5037670135498
groei,16,10239,863361,title,2.4130099824986315E-5,0.0025645135438371533,4.2077782401991404E-5,6.731707496421803,5.929482707128301,23.717930828513204,26.926829985687213,169.740234375,144.35712814331055
hoger,15,22483,1196731,title,3.3447466927108936E-5,0.002404231447347331,9.239523212657221E-5,6.167535020393732,4.701613569817205,18.368689840104235,24.095884569262466,142.39794921875,99.46565055847168
miljard,14,19291,838875,title,2.3445739951984624E-5,0.002243949350857509,7.927751736661941E-5,6.580570490895431,4.822984518218382,18.36281384444638,25.05456744845774,144.3271484375,96.10382843017578
ziet,14,35573,5410019,title,1.5120476663304532E-4,0.002243949350857509,1.461893694097119E-4,3.8914645872041085,3.9401298022252274,15.001472596048073,14.816186850104424,71.3271484375,72.59256744384766
minister,14,99829,16590311,title,4.6368304864079864E-4,0.002243949350857509,4.1025324146971387E-4,2.274829221989064,2.451453474789,9.333553453433115,8.661082235180531,31.67529296875,35.65900230407715
wordt,14,414061,69051995,title,0.0019299360666794724,0.002243949350857509,0.001701608424567923,0.2174870567453322,0.3991410314949597,1.519671570857484,0.8280504159831619,0.43798828125,1.4153690338134766
resultaten,14,14255,2158352,title,6.032383813660666E-5,0.002243949350857509,5.8581774405741525E-5,5.217168078627022,5.2594444101806115,20.0245715623895,19.863610563362403,106.81298828125,107.94778442382812
amerika,14,23457,4534120,title,1.267242419086187E-4,0.002243949350857509,9.639794333465303E-5,4.146275674069029,4.540893935743853,17.288794876795883,15.786343095874427,78.02197265625,88.51542663574219
eerste,14,205013,28919817,title,8.082807436638165E-4,0.002243949350857509,8.425131754643485E-4,1.4731117299529863,1.4132689597609058,5.380816530136914,5.608659195777294,15.4208984375,14.360111236572266
oeso,14,839,25233,title,7.052377961060086E-7,0.002243949350857509,3.447920640225685E-6,11.635642696483037,9.346097828566103,35.583911569623034,44.3010214917583,285.44873046875,221.06842803955078
dollar,14,26389,2068980,title,5.7825977703301616E-5,0.002243949350857509,1.0844717255651443E-4,5.27817854870273,4.370975768075194,16.641856104775606,20.0958990769022,108.47705078125,83.97550010681152
onze,14,319817,33520813,title,9.368741046962962E-4,0.002243949350857509,0.0013143070743683646,1.2601130131330098,0.77173772668319,2.938279432224789,4.797697482900803,11.76806640625,4.880924224853516
toekomst,14,29217,3823516,title,1.0686355158784376E-4,0.002243949350857509,1.2006900756313926E-4,4.392198336774674,4.224104399560064,16.082664676950188,16.722657956172277,84.55078125,80.07290458679199
zeer,14,217081,35688453,title,9.974575333948747E-4,0.002243949350857509,8.921073426708366E-4,1.1697127873963655,1.3307508948773368,5.066640969643789,4.453511738487272,10.326171875,12.94123649597168
imf,14,2051,75815,title,2.118955475439981E-6,0.002243949350857509,8.42870707163633E-6,10.048471123894709,8.056513052526073,30.674004625156474,38.258095992714225,241.04150390625,185.24713325500488
jan,14,97121,16920727,title,4.7291785431741905E-4,0.002243949350857509,3.9912455363451583E-4,2.246378597862087,2.491129173171638,9.484612918956325,8.552760611375076,31.04443359375,36.56987380981445
inflatie,13,8103,249137,title,6.963136718125576E-6,0.002083667254367687,3.329976275059443E-5,8.225171843007749,5.967469199859291,22.082260043942966,30.43675257640164,176.50732421875,118.2523365020752
procent,13,78433,3802426,title,1.0627410661024E-4,0.002083667254367687,3.2232510080431605E-4,4.29326287253704,2.6925364621252204,9.963568866991263,15.886960453956581,76.0625,38.324087142944336
omzet,13,23533,2299083,title,6.42571326431574E-5,0.002083667254367687,9.671026987655668E-5,5.019124493862279,4.429311997683341,16.3904020402663,18.572967627382784,94.1796875,79.41915893554688
lagere,13,10821,1808932,title,5.055788915252385E-5,0.002083667254367687,4.446954618341137E-5,5.365044867816598,5.5501634165806895,20.53804514888885,19.853025118477564,102.9287109375,107.61060523986816
moeilijkheden,12,18419,2467250,title,6.895723665210438E-5,0.001923385157877865,7.569398125425136E-5,4.8018019191110675,4.667325291023213,16.732186146985676,17.21427981590406,81.89111328125,78.77411079406738
amerikaanse,12,65103,4257726,title,1.1899929856391439E-4,0.001923385157877865,2.6754466917832277E-4,4.014622716520682,2.845796002618515,10.202071954089543,14.392271893269946,63.89697265625,38.513084411621094
economisch,12,7981,994002,title,2.778138864998077E-5,0.001923385157877865,3.2798396459643855E-5,6.113385166972968,5.873878599034205,21.057634511326146,21.916256576063038,112.62841796875,106.9458999633789
beurs,12,15787,2386711,title,6.670624997352546E-5,0.001923385157877865,6.487761996095696E-5,4.849681941492824,4.889782985885093,17.529688641062386,17.385927900676347,82.9990234375,83.91686248779297
congres,12,12983,2279325,title,6.37049157694023E-5,0.001923385157877865,5.3354414388617487E-5,4.916099179187118,5.171896240697015,18.54105408051952,17.624031207211875,84.53955078125,90.47768783569336
philips,12,31937,2288903,title,6.397261154917891E-5,0.001923385157877865,1.3124701011547999E-4,4.910049501566084,3.873291228470304,13.885603808438221,17.602343339799017,84.39892578125,60.720293045043945
den,12,237689,295652905,title,0.008263210998872077,0.001923385157877865,9.767971502438653E-4,-2.103054815774281,0.9775167948351928,3.5043610533093026,-7.539372651511838,64.0205078125,6.4278411865234375
west,12,31593,3380049,title,9.446908046963572E-5,0.001923385157877865,1.2983332155738983E-4,4.347661665511545,3.88891508946438,13.941614764218464,15.586204036681776,71.44970703125,61.06979751586914
kabinet,12,22023,2966385,title,8.290757420052797E-5,0.001923385157877865,9.050483463610282E-5,4.5359999728007665,4.409509020147775,15.807924483821465,16.261389805762935,75.76220703125,72.85449600219727
opleving,12,2077,183443,title,5.127053344076191E-6,0.001923385157877865,8.53555562544547E-6,8.551302067716504,7.815946906824829,28.019876568594526,30.656097245102956,170.72998046875,153.0457820892334
produktie,12,14489,626216,title,1.750212783760632E-5,0.001923385157877865,5.954341139002378E-5,6.779973551341284,5.013562001536135,17.97343177054755,24.30595093743975,128.44091796875,86.79053688049316
fors,12,3395,171647,title,4.797366622605638E-6,0.001923385157877865,1.395195539161645E-5,8.647189279084072,7.107036548537385,25.47845951776124,30.99984930215441,173.02587890625,136.16796493530273
onder,11,256243,51908673,title,0.0014507968987162634,0.001763103061388043,0.0010530459220659716,0.28127124274657334,0.7435484572750131,2.572255043086164,0.9730386305709025,0.56689453125,3.5800914764404297
blijft,11,41091,6410265,title,1.791606690070734E-4,0.001763103061388043,1.6886592017582077E-4,3.298790945583413,3.3841667053459847,11.707293303213511,11.411941700425688,44.08154296875,45.771711349487305
