ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
begrotingstekortpaniek,2,1.0321559410096044E-7,0.0020,4.819776506963372E-6,14.242051425914815,8.69681803442492
lilf,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
boeloond,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
afzetverkleiningen,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
verdiepende,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
ontslgan,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
maotsetoeng,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
aandelenmarkten1,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
aarjeling,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
dollargebeuren,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
dollars'belegd,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
ernst.zou,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
stijgingsperiode,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
terugger,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
we'weten,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
zou'vloeien,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
recessopetrojlation,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
capacheit,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
werklozenmanifestatie,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
vleesconcerns,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
reissgematigd,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
scheepsbouwstaal,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
intradel,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
nederland'boekte,1,5.160779705048022E-8,0.0010,2.409888253481686E-6,14.242051425914811,8.69681803442492
