ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
beatrix,1023,6.438588760017912E-4,1.0,0.002403541509161863,10.600967873202748,8.700622565627777
prinses,529,0.0013612588628005168,0.458,0.0028929899619366426,8.394262346114004,7.306642470667436
claus,267,3.5000407959635685E-4,0.258,0.0012607667734421772,9.525783612312635,7.676925836155483
huwelijk,151,0.003753589902872578,0.151,0.004691276018336837,5.330133701679154,5.008424352844016
von,105,4.596706483286273E-4,0.101,0.0012476565470285672,7.779539029958797,6.338990636766662
amsberg,104,2.833268058071364E-5,0.102,8.412395282066522E-4,11.813814428881109,6.921836795766943
verloving,92,6.44581385160498E-5,0.092,5.63739735785237E-4,10.479055620363868,7.35046079001147
bezoek,80,0.006189787570437547,0.078,0.005519405320129879,3.6555123209469707,3.8208893844524066
amsterdam,51,0.011123492968463456,0.05,0.010418259923348876,2.168318204579027,2.2628137586902746
verloofde,48,5.28205802811665E-4,0.048,0.001127479471570474,6.505790444725196,5.4118613346756135
koningin,41,0.0016886587272887633,0.036,0.00241228166010427,4.414047208055052,3.8995266340418535
foto,37,0.0032760113489674336,0.035,0.003961473414645871,3.417342662081224,3.1432458965785193
prins,36,0.002592311253642672,0.035,0.0038238160373029644,3.7550440668058593,3.194269899602987
tijdens,27,0.004480950194502046,0.026,0.004190902376884049,2.5366350270321147,2.633178802500672
west,25,0.003394812497777639,0.025,0.0035179107543187272,2.8805242960106314,2.8291373061504546
heer,23,0.008636719659789016,0.022,0.008619973866948683,1.348948156848075,1.351748123114188
bernhard,21,6.675468548479616E-4,0.021,0.0010378929244108045,4.975376415121471,4.338659808938162
juliana,21,5.422431236093957E-4,0.018,6.7080658482972E-4,5.052913243678832,4.745956245449845
paar,21,7.274635072235692E-4,0.019,0.0011974006791097282,4.706980730437985,3.9880215198607694
terug,18,0.004759529082980538,0.018,0.004118796131609193,1.919106163887581,2.1277022826639964
pvda,18,0.0018487977215364034,0.017,0.0012542116602353723,3.2008754543125546,3.760682003952364
den,17,0.009000709452386053,0.017,0.007308951225587666,0.9174241194635782,1.217798435099228
londen,16,0.0020827874733632804,0.013,0.0018966127545022703,2.6419240831636577,2.7770145750743227
kamer,16,0.003551596985216998,0.016,0.002899545075143448,2.1715321177534532,2.4641734340075176
onder,16,0.00639642518982767,0.016,0.006365014923807734,1.3227341576690215,1.329836103237362
gisteren,16,0.002076181675340819,0.016,0.0019665339620415245,2.94606730840182,3.024344898160673
suriname,15,0.0012786863875197483,0.014,9.92007131963169E-4,3.452692451934541,3.8189325241444
radio,15,0.008609677174134564,0.014,0.006815132697341683,0.701395778280621,1.0386131740611617
goedkeuringswet,15,4.438270546341298E-6,0.015,1.769880565837372E-4,11.722677266821233,6.405166682101603
duitsland,14,0.007493245700541526,0.014,0.007752513885914809,0.9017641644144216,0.8526907171342497
aruba,14,0.0020421205292875024,0.014,0.0028230687543973885,2.777286903112352,2.310090656741388
maart,14,0.003984792833658729,0.014,0.0030961984713476004,1.8128502005074205,2.1768569685172947
reis,14,0.0010304528837069384,0.014,0.001297912414947406,3.76407638127199,3.431161890634548
cals,14,1.8356893410855814E-4,0.014,0.0011078141319500587,6.252961088910566,3.6596390744319747
paleis,14,3.03815101236177E-4,0.014,4.5011777353394896E-4,5.526089435659668,4.958980484252096
maastricht,13,0.002448531931060034,0.013,0.002617675207250829,2.4085227079299925,2.3121536147300175
rotterdam,13,0.00622880306500771,0.013,0.006511412452093047,1.0614847584359994,0.9974691921692793
duitse,13,0.0028544788626591114,0.013,0.0037713751316485237,2.1872123388872735,1.7853490583398477
foto's,13,4.933189320055404E-4,0.013,6.729916225653217E-4,4.719847158604208,4.271779266823901
waar,13,0.0032033991785174083,0.013,0.003028462301543948,2.020836133270852,2.101854265381589
nederhorst,13,9.593889471684273E-5,0.013,3.3212573581145745E-4,7.082180089136425,5.290638294075218
trouwt,12,9.031364483834039E-5,0.012,1.5513767922772025E-4,7.053874719916278,6.273341470594184
verwacht,12,0.002326995569006153,0.012,0.002809958527983778,2.366494037111087,2.0944136627709202
rond,12,0.0021595798753743954,0.012,0.0018288765846986178,2.474211822900271,2.7140047775485225
trouwen,12,7.251411563562976E-4,0.012,4.042319810863134E-4,4.048628737373281,4.891707129582555
hitzacker,12,4.6963095315937E-6,0.011,8.521647168846606E-5,11.193688404353416,7.01215548915276
voorzitter,12,0.002775673756563028,0.012,0.0030459426034287612,2.112124492404419,1.9780737442304446
