ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
knalbaan,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
gezwibberzwabber,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
propagandatoeter,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
elëexher,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
gezondheidszorgnota,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
danttig,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
querul,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
afraadt,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
agnelll,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
autorltelten,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
baltra,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
hoogtprljs,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
mlreya,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
schetst.de,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
schljft,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
bhl.p,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
heetwaterbn,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
joodss,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
sifmwe,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
weekblacifn,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
bevrqdingsbeweglng,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
eueviers,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
frellmo,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
mediabond,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
eboorte'nnd,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
jazzkoningin,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
mayatlnc,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
mlrkerytheater,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
tkach,1,5.160779705048022E-8,0.008928571428571428,2.3323071182013248E-6,17.400480788519296,11.902455872136185
vhper,1,1.0321559410096044E-7,0.008928571428571428,2.3323071182013248E-6,16.400480788519296,11.902455872136185
elsevirrs,1,1.0321559410096044E-7,0.008928571428571428,2.3323071182013248E-6,16.400480788519296,11.902455872136185
klssinger,1,1.0321559410096044E-7,0.008928571428571428,2.3323071182013248E-6,16.400480788519296,11.902455872136185
mlnlster,1,1.0321559410096044E-7,0.008928571428571428,2.3323071182013248E-6,16.400480788519296,11.902455872136185
octavlo,1,1.0321559410096044E-7,0.008928571428571428,2.3323071182013248E-6,16.400480788519296,11.902455872136185
vrouwenvoorvechtster,1,1.0321559410096044E-7,0.008928571428571428,2.3323071182013248E-6,16.400480788519296,11.902455872136185
nieutre,1,1.5482339115144065E-7,0.008928571428571428,2.3323071182013248E-6,15.81551828779814,11.902455872136185
graaskamp,1,2.0643118820192087E-7,0.008928571428571428,2.3323071182013248E-6,15.400480788519298,11.902455872136185
oroene,1,2.0643118820192087E-7,0.008928571428571428,2.3323071182013248E-6,15.400480788519298,11.902455872136185
drugboerderij,1,2.0643118820192087E-7,0.008928571428571428,2.3323071182013248E-6,15.400480788519298,11.902455872136185
bakkerijwereld,1,2.5803898525240107E-7,0.008928571428571428,2.3323071182013248E-6,15.078552693631936,11.902455872136185
dougias,1,2.5803898525240107E-7,0.008928571428571428,2.3323071182013248E-6,15.078552693631936,11.902455872136185
vredesopbouw,1,2.5803898525240107E-7,0.008928571428571428,2.3323071182013248E-6,15.078552693631936,11.902455872136185
glovannl,1,3.096467823028813E-7,0.008928571428571428,2.3323071182013248E-6,14.81551828779814,11.902455872136185
tweo,1,3.096467823028813E-7,0.008928571428571428,2.3323071182013248E-6,14.81551828779814,11.902455872136185
kosh,1,3.096467823028813E-7,0.008928571428571428,2.3323071182013248E-6,14.81551828779814,11.902455872136185
akp,1,4.1286237640384175E-7,0.008928571428571428,2.3323071182013248E-6,14.400480788519298,11.902455872136185
tuh,1,4.1286237640384175E-7,0.008928571428571428,2.3323071182013248E-6,14.400480788519298,11.902455872136185
lelte,1,4.6447017345432197E-7,0.008928571428571428,2.3323071182013248E-6,14.230555787076982,11.902455872136185
antl,1,5.676857675552824E-7,0.008928571428571428,2.3323071182013248E-6,13.941049169881998,11.902455872136185
diamantkoning,1,6.192935646057626E-7,0.008928571428571428,2.3323071182013248E-6,13.81551828779814,11.902455872136185
gedienstig,1,6.192935646057626E-7,0.008928571428571428,2.3323071182013248E-6,13.81551828779814,11.902455872136185
gezeul,1,7.22509158706723E-7,0.008928571428571428,2.3323071182013248E-6,13.593125866461692,11.902455872136185
achturige,1,7.22509158706723E-7,0.008928571428571428,2.3323071182013248E-6,13.593125866461692,11.902455872136185
frak,1,8.257247528076835E-7,0.008928571428571428,2.3323071182013248E-6,13.400480788519298,11.902455872136185
verdorren,1,1.445018317413446E-6,0.008928571428571428,2.3323071182013248E-6,12.593125866461692,11.902455872136185
bondsbestuurders,1,1.7030573026658473E-6,0.008928571428571428,2.3323071182013248E-6,12.356086669160844,11.902455872136185
grootgrutter,1,2.2707430702211297E-6,0.008928571428571428,2.3323071182013248E-6,11.941049169881998,11.902455872136185
psychotherapeut,1,2.9416444318773722E-6,0.008928571428571428,2.3323071182013248E-6,11.567590774354555,11.902455872136185
kroonlid,1,3.870584778786016E-6,0.008928571428571428,2.3323071182013248E-6,11.171662098023416,11.902455872136185
venijnige,1,4.6447017345432195E-6,0.008928571428571428,2.3323071182013248E-6,10.90862769218962,11.902455872136185
medvedevs,1,1.0321559410096044E-7,0.008928571428571428,4.6646142364026496E-6,16.400480788519296,10.902455872136185
steinem,1,1.5482339115144065E-7,0.008928571428571428,4.6646142364026496E-6,15.81551828779814,10.902455872136185
ontwerpstructuurplan,1,1.5482339115144065E-7,0.008928571428571428,4.6646142364026496E-6,15.81551828779814,10.902455872136185
vatlcaan,1,3.612545793533615E-7,0.008928571428571428,4.6646142364026496E-6,14.593125866461692,10.902455872136185
suspense,1,1.2385871292115252E-6,0.008928571428571428,4.6646142364026496E-6,12.81551828779814,10.902455872136185
frontvorming,1,1.3418027233124857E-6,0.008928571428571428,4.6646142364026496E-6,12.700041070378203,10.902455872136185
heroïnegebruikers,1,1.445018317413446E-6,0.008928571428571428,4.6646142364026496E-6,12.593125866461692,10.902455872136185
ritsaert,1,1.8578806938172879E-6,0.008928571428571428,4.6646142364026496E-6,12.230555787076982,10.902455872136185
doormaken,1,2.0127040849687285E-6,0.008928571428571428,4.6646142364026496E-6,12.115078569657046,10.902455872136185
wrake,1,2.838428837776412E-6,0.008928571428571428,4.6646142364026496E-6,11.619121074994636,10.902455872136185
eei,1,2.838428837776412E-6,0.008928571428571428,4.6646142364026496E-6,11.619121074994636,10.902455872136185
gisolf,1,2.9932522289278527E-6,0.008928571428571428,4.6646142364026496E-6,11.542499793391725,10.902455872136185
samenstellers,1,3.6641535905840957E-6,0.008928571428571428,4.6646142364026496E-6,11.250733669014613,10.902455872136185
mcdonnell,1,6.347759037209067E-6,0.008928571428571428,4.6646142364026496E-6,10.457966283180054,10.902455872136185
vermaan,1,7.2250915870672304E-6,0.008928571428571428,4.6646142364026496E-6,10.27119777157433,10.902455872136185
interviewde,4,3.560937996483135E-6,0.026785714285714284,1.8658456945610598E-5,12.876918832462284,10.487418372857341
verzei,1,4.1286237640384175E-7,0.008928571428571428,6.996921354603974E-6,14.400480788519298,10.317493371415031
tegencultuur,1,9.805481439591242E-7,0.008928571428571428,6.996921354603974E-6,13.152553275075713,10.317493371415031
filosofeert,1,2.3223508672716098E-6,0.008928571428571428,6.996921354603974E-6,11.90862769218962,10.317493371415031
messchaert,1,2.890036634826892E-6,0.008928571428571428,6.996921354603974E-6,11.593125866461692,10.317493371415031
rooskleuriger,1,3.4061146053316945E-6,0.008928571428571428,6.996921354603974E-6,11.356086669160844,10.317493371415031
fotoreportage,1,4.593093937492739E-6,0.008928571428571428,6.996921354603974E-6,10.924747357552897,10.317493371415031
afgestoten,1,6.347759037209067E-6,0.008928571428571428,6.996921354603974E-6,10.457966283180054,10.317493371415031
gehoorzamen,1,6.863837007713869E-6,0.008928571428571428,6.996921354603974E-6,10.345198353018107,10.317493371415031
incidentele,1,8.360463122177795E-6,0.008928571428571428,6.996921354603974E-6,10.060630785634674,10.317493371415031
schoolstrijd,1,4.118302204628322E-5,0.008928571428571428,6.996921354603974E-6,7.760235852296951,10.317493371415031
haagse,113,9.231086658419397E-4,1.0,9.539136113443418E-4,10.081211891544543,10.033853761252042
vrijmetselaren,2,1.7546650997163273E-6,0.008928571428571428,9.329228472805299E-6,12.313017947268959,9.902455872136185
weekbladpers,1,2.0127040849687285E-6,0.008928571428571428,9.329228472805299E-6,12.115078569657046,9.902455872136185
miserabele,1,4.180231561088898E-6,0.008928571428571428,9.329228472805299E-6,11.060630785634674,9.902455872136185
lemmers,1,1.0734421786499886E-5,0.008928571428571428,9.329228472805299E-6,9.700041070378203,9.902455872136185
vrijwilligerswerk,1,1.5637162506295505E-5,0.008928571428571428,9.329228472805299E-6,9.157306805046344,9.902455872136185
pinksterbeweging,1,1.630806386795175E-5,0.008928571428571428,9.329228472805299E-6,9.096700040342194,9.902455872136185
ingewijden,1,5.470426487350903E-6,0.008928571428571428,1.1661535591006623E-5,10.672560333956097,9.580527777248824
machtsoverdracht,1,7.07026819591579E-6,0.008928571428571428,1.1661535591006623E-5,10.302448705558772,9.580527777248824
vervreemd,1,7.4315227752691515E-6,0.008928571428571428,1.1661535591006623E-5,10.230555787076986,9.580527777248824
renteloze,1,8.102424136925395E-6,0.008928571428571428,1.1661535591006623E-5,10.10586003962767,9.580527777248824
houdende,1,8.257247528076834E-6,0.008928571428571428,1.1661535591006623E-5,10.078552693631936,9.580527777248824
eigenaardige,1,8.308855325127315E-6,0.008928571428571428,1.1661535591006623E-5,10.06956391040468,9.580527777248824
terugkeerde,1,1.1198891959954207E-5,0.008928571428571428,1.1661535591006623E-5,9.63892955607482,9.580527777248824
