ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
krakers,368,1.5043672840214984E-4,1.0,8.239826895160186E-4,12.698555542489041,10.24509835040761
politie,39,0.00407092624693598,0.10526315789473684,0.004103935943905267,4.692499686842902,4.680848558336747
pand,29,2.2495838734304328E-4,0.07756232686980609,3.834600881958203E-4,8.429554117393335,7.660135849686453
geding,23,7.811356161560686E-4,0.06371191135734072,0.0011092952551379088,6.349846266407347,5.843847802858841
nijmegen,18,0.0010264274755370012,0.0443213296398892,0.0011047302540879585,5.43229756347938,5.326235113133014
kort,17,0.004231374887965923,0.04709141274238227,0.004978133644970738,3.4762655889278333,3.241787137017197
amsterdam,17,0.011123492968463456,0.038781163434903045,0.014989180947511617,1.8017461946368218,1.371434532563109
groningen,14,0.009080598322220197,0.036011080332409975,0.013592290626226845,1.9875816158380095,1.405652275797225
moeten,14,0.0028604137593199164,0.038781163434903045,0.0030334431976919356,3.761060331659631,3.6763278831890362
blijven,12,0.003240556792393754,0.0332409972299169,0.0032594107496644723,3.358650040259195,3.3502805870996655
nijmeegse,12,9.88805391487201E-5,0.0332409972299169,1.5977503674825846E-4,8.393061338674705,7.700777834183799
gemeente,12,0.0025164993997755162,0.0332409972299169,0.003654283340485168,3.7234735047665586,3.1853032586125076
ontruiming,11,9.949983271332586E-5,0.027700831024930747,2.944425677217906E-4,8.12101944234713,6.555799189871715
huis,11,0.004262804036369666,0.030470914127423823,0.00500552365127044,2.837558141132856,2.6058398723713116
actie,11,0.002616050840285893,0.030470914127423823,0.002905623168293329,3.541970297993794,3.3905132651435466
binnen,10,0.001891528977494201,0.024930747922437674,0.002118160487176912,3.7203013811291967,3.5570423567223486
krijgen,10,0.0012748158027409624,0.027700831024930747,0.0012051602771868638,4.441568544534665,4.522632325936517
mogen,10,0.0014639583789309723,0.027700831024930747,0.0015110153475335298,4.2419828149989645,4.1963390384877535
werden,10,0.0013929976579865621,0.01662049861495845,8.741977010654713E-4,3.576698926123318,4.248860269203807
weg,9,0.0066365046617065035,0.024930747922437674,0.007059774123748049,1.9094306614620207,1.820232233760657
berlijn,9,8.877057170653103E-4,0.0221606648199446,4.998676149695515E-4,4.641775864032459,5.4703112908064355
groningse,9,1.7825333101235868E-4,0.024930747922437674,1.962950451478604E-4,7.127853317603117,6.988758597147823
grote,8,0.012067915654487244,0.0221606648199446,0.011423915127500479,0.876824644591446,0.9559439966842529
groninger,8,0.0011195795492131178,0.0221606648199446,0.0014813428407088533,4.306972218483038,3.9030236824084703
onder,8,0.00639642518982767,0.01662049861495845,0.006085146399583672,1.377625916165094,1.4495997860397916
verslaggevers,8,4.6684413211864405E-4,0.0221606648199446,0.0018442604241798975,5.568916403058319,3.5868868676558154
amsterdamse,7,0.002770151722278627,0.01662049861495845,0.0017461129016059674,2.5849267630936152,3.2507449135487496
oude,7,0.003156436083201471,0.019390581717451522,0.002821170648869249,2.6189876425386522,2.7809902445608383
baulig,7,3.302899011230734E-6,0.019390581717451522,2.739000629970145E-5,12.519335605747331,9.467490771744057
onzer,7,6.37717548152784E-4,0.019390581717451522,0.0022414155155255685,4.926294694157921,3.1128740581505205
heerlen,7,0.004264971563845786,0.002770083102493075,0.00585689634708616,-0.6226068648154408,-1.0802071046820734
bezetten,6,1.3810246490708505E-4,0.01662049861495845,1.6205753727323356E-4,6.911080783769424,6.680313731624083
west,6,0.003394812497777639,0.01662049861495845,0.0028303006509691497,2.291559864731979,2.5539364458545277
knokploeg,6,2.42556646137257E-5,0.01662049861495845,5.706251312437802E-5,9.420426237845884,8.18620466135404
nodig,6,0.001887658392715415,0.01662049861495845,0.0019743629541034793,3.138294052973545,3.073504528604677
verzet,6,9.933468776276433E-4,0.01662049861495845,0.0011480977640624856,4.064522257234809,3.855646261323238
open,6,0.002263053508460608,0.0110803324099723,0.0028827981630435776,2.2916585611603333,1.9424594266200552
rechtbank,6,8.368720369705872E-4,0.01662049861495845,5.112801175944271E-4,4.311812810943986,5.022705929071161
panden,6,6.853515448303772E-5,0.01662049861495845,9.586502204895507E-5,7.921903753063959,7.437743428350005
verlaten,6,5.126718558994705E-4,0.01662049861495845,3.6063508294606906E-4,5.018784152973647,5.52628010295166
willen,6,0.005122899582012969,0.01662049861495845,0.007107706634772526,1.6979311458275026,1.2255076220497267
zetten,6,4.993054364633962E-4,0.01662049861495845,5.47800125994029E-4,5.056897238491749,4.923170255520247
achter,6,0.0027259754480034155,0.01662049861495845,0.002348693040199399,2.6081191901912577,2.8230335842347953
uur,6,0.01654540812658691,0.008310249307479225,0.02007687461768116,-0.9934672155268389,-1.2725710377262036
bezet,6,3.719890011398614E-4,0.01662049861495845,5.820376338686558E-4,5.481559888597347,4.8357074142699075
jaar,6,0.02770621353231786,0.013850415512465374,0.028857654137260453,-1.0002803007018848,-1.0590247689392918
mei,6,0.0059913039829814,0.002770083102493075,0.005137908681718996,-1.1129407761310688,-0.8912519910465466
keer,5,0.001112612496611303,0.013850415512465374,0.0012188552803367144,3.637906137843511,3.5063305136074154
frigge,5,9.54744245433884E-6,0.013850415512465374,2.967250682467657E-5,10.502527318060778,8.86658672715388
weer,5,0.015393367273029038,0.013850415512465374,0.015575783582430223,-0.1523795955109355,-0.16937548602331987
politiebureau,5,1.2633588717957556E-4,0.013850415512465374,1.1869002729870628E-4,6.776520935884439,6.866586727153877
hoofdstad,5,6.232157571815991E-4,0.013850415512465374,3.7889508714587E-4,4.474053737063467,5.191987013948046
wetering,5,7.627632404060976E-5,0.013850415512465374,1.415150325484575E-4,7.504478224430939,6.612830134908095
westberlijnse,5,1.945613948803104E-5,0.013850415512465374,4.3367509974527295E-5,9.475488065308426,8.319098931851386
vonnis,5,3.0195722054235976E-4,0.013850415512465374,3.6063508294606906E-4,5.5194412757578215,5.263245697117866
steun,5,0.0021935378058336114,0.013850415512465374,0.002663678112645966,2.65859778110402,2.3784375995876212
president,5,0.0025719777816047827,0.013850415512465374,0.0016023153685325348,2.4289791728685204,3.111699224990409
burgemeester,5,0.0018830652987779223,0.013850415512465374,0.0014471053328342265,2.8787743237193366,3.2586874151555625
woningen,5,7.846449463555013E-4,0.013850415512465374,8.034401847912425E-4,4.141745468715125,4.107594826657674
jan,5,0.011450067108198894,0.013850415512465374,0.011757160204146846,0.27457320387348005,0.23638962057168023
