ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
lockheed,418,5.6407322176174875E-5,1.0,0.0011535592571743898,14.113758024904996,9.759692168949972
affaire,49,4.4005968544944484E-4,0.11778846153846154,4.935902590794264E-4,8.064283295268538,7.89866858209878
prins,45,0.002592311253642672,0.10096153846153846,0.0028007087734282063,5.283423039160648,5.171870014089573
commissie,45,0.0014522434090005133,0.0985576923076923,0.0017719335705154691,6.0846132889299955,5.79757205262106
onderzoek,40,0.0026605367613434065,0.09615384615384616,0.003219428599950641,5.175555323649026,4.900468006971766
japan,39,0.0011093612053971228,0.09375,8.51304547962831E-4,6.40101760528489,6.78299954244204
zaak,38,0.001959806092991986,0.09134615384615384,0.0024402215055612094,5.542561161602585,5.226259968868895
ind,25,1.1286625214940024E-4,0.009615384615384616,2.3847619258893636E-4,6.4126584873877155,5.333427414247873
int,24,1.6999608348428183E-4,0.009615384615384616,2.4402215055612094E-4,5.821771152709455,5.3002605503126725
bernhard,23,6.675468548479616E-4,0.055288461538461536,8.928992327167152E-4,6.371965514920718,5.952337246892367
gen,23,4.129139842008922E-4,0.009615384615384616,4.0485493160447337E-4,4.541431382163727,4.569867610069953
donner,21,1.8604610836698117E-4,0.04807692307692308,5.213200489153492E-4,8.013540543194985,6.527031412159697
oil,21,1.3547046725751057E-4,0.009615384615384616,3.32757478031074E-4,6.1492942849949594,4.852801573341453
schandaal,19,2.1324341741258427E-4,0.04567307692307692,2.662059824248592E-4,7.742698967014334,7.422657181672399
premier,19,0.0017229263045302821,0.04326923076923077,0.0018856257088427527,4.650408574097778,4.520226234254581
tel,19,0.0012263044735135108,0.009615384615384616,0.0019244474146130446,2.971027342881956,2.32090031637171
miljoen,17,0.0037375914857869287,0.038461538461538464,0.004087371021815026,3.3632356736381386,3.2341713598548996
can,17,2.3884088474962245E-4,0.009615384615384616,4.547685533091345E-4,5.331222843328319,4.402140164331887
japanse,16,7.175548101898769E-4,0.03365384615384615,7.73661136422247E-4,5.551538547679012,5.4429257791783865
geld,16,0.0033127561004673758,0.038461538461538464,0.004101235916732987,3.537312576684643,3.229285831850903
nat,16,3.0360867004797514E-4,0.009615384615384616,2.7452491937563606E-4,4.985059671522504,5.130335548870362
documenten,13,1.0837637380600845E-4,0.03125,1.1923809629446818E-4,8.171662098023415,8.033867132388965
italiaanse,13,7.563122657747876E-4,0.03125,9.289479595034149E-4,5.368730362999996,5.072114601745927
nieuwe,12,0.01370414085997272,0.028846153846153848,0.011904398776561673,1.0737670867966198,1.2768842122233037
amerikaanse,12,0.0030912554355267147,0.028846153846153848,0.0025040000221838317,3.222114195853613,3.526072492190269
meuser,12,1.0063520424843643E-5,0.028846153846153848,1.2201107527806047E-4,11.485028179407355,7.885223051033829
rapport,12,0.0010909372218501014,0.028846153846153848,0.0015417763148773095,4.724738983299614,4.22571359694762
regering,12,0.0031331609667317045,0.028846153846153848,0.0032748881796224867,3.2026881769011544,3.1388614202739697
steekpenningen,12,4.288607934894906E-5,0.028846153846153848,2.7729789835922834E-4,9.393653826386618,6.7007984798964015
cont,12,3.529973318252847E-5,0.009615384615384616,1.164651173108759E-4,8.08954347754991,6.367374746171211
ine,12,1.2922592381440245E-4,0.009615384615384616,2.1074640275301355E-4,6.217377145503192,5.5117646555063855
pow,12,3.266773553295398E-5,0.009615384615384616,1.8024363393349843E-4,8.201334303007467,5.737324355921518
krijgt,11,0.0034272221943253407,0.026442307692307692,0.003041957945000735,2.9477364571880456,3.119775977184074
dollar,11,8.707267518357023E-4,0.026442307692307692,5.046821750137956E-4,4.924484231279414,5.711329147388571
all,11,1.7355702148076497E-4,0.01201923076923077,3.660332258341814E-4,6.113791023796586,5.03722614447888
stukken,10,3.6543481091445043E-4,0.02403846153846154,2.0242746580223669E-4,6.039586686256025,6.891795704957315
minister,10,0.0049772107709394635,0.019230769230769232,0.004891534927056788,1.9500070841171526,1.975057323392451
president,10,0.0025719777816047827,0.021634615384615384,0.002171242544152758,3.0723913881695504,3.316748673101242
drie,10,0.005509029119544663,0.02403846153846154,0.0053795792281690295,2.1254745727090842,2.159779326762843
pac,10,3.86026321937592E-5,0.009615384615384616,1.1369213832728362E-4,7.9605015325481725,6.402140164331889
bonn,9,8.150419388182341E-4,0.021634615384615384,6.571960191113712E-4,4.730323366245128,5.040873921494025
gegevens,9,2.1799133474122845E-4,0.021634615384615384,2.3847619258893636E-4,6.632926874519668,6.503352415690185
namen,9,0.0014127118364598455,0.021634615384615384,0.0014558139663859487,3.936802351766169,3.893443557838798
kamerleden,9,3.619254807150178E-4,0.021634615384615384,4.935902590794264E-4,5.901504981205094,5.453883739425884
den,9,0.009000709452386053,0.019230769230769232,0.01033489267184844,1.0953058447342334,0.895893065221121
church,9,7.839224371967945E-5,0.021634615384615384,2.2183831868738266E-4,8.108414839376039,6.607689075504921
nederland,8,0.012340095176131476,0.019230769230769232,0.011358121916793992,0.6400629499499191,0.7596921689499716
oud,8,0.005005337020331975,0.019230769230769232,0.006156013343574869,1.9418773543643812,1.6433482077125037
tanaka,8,1.161175433635805E-5,0.016826923076923076,8.873532747495306E-5,10.500969723276373,7.567047091007576
burl,8,2.0385079834939687E-5,0.009615384615384616,9.98272434093222E-5,8.881687149371341,6.58976716750766
cons,8,3.096467823028813E-5,0.009615384615384616,1.0260022239291448E-4,8.27857730193993,6.5502388033210215
kamer,7,0.003551596985216998,0.016826923076923076,0.0042371118869290085,2.244231606332053,1.9896182629718266
washington,7,7.914055677691142E-4,0.016826923076923076,4.963632380630187E-4,4.410210368339031,5.083231313743318
strauss,7,1.4677257481156573E-4,0.016826923076923076,2.689789614084515E-4,6.841045164873997,5.967134248820446
weer,7,0.015393367273029038,0.016826923076923076,0.01599454277736029,0.12846254040538607,0.07319164176675219
ontkent,7,3.339540547136575E-4,0.016826923076923076,2.606600244576746E-4,5.6549779526118025,6.012458239329939
italië,7,0.0015357448246281903,0.016826923076923076,0.001849576982056053,3.453760967067958,3.1855041398229895
nederlandse,7,0.005773003001457869,0.016826923076923076,0.004162241454372017,1.5433775131571599,2.015338829386886
beschuldiging,7,2.1123071332761553E-4,0.016826923076923076,2.606600244576746E-4,6.315807963050326,6.012458239329939
kreeg,7,0.0013356613954634785,0.016826923076923076,0.0013559867229766265,3.65514517313252,3.633356436055341
ploeg,7,0.001449611411350939,0.016826923076923076,0.0013975814077305108,3.5370332711318886,3.5897671675076586
