ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
recessie,104,8.195318171616259E-5,1.0,2.5062837836209537E-4,13.57484051343394,11.962162600945916
economische,8,8.654627565365532E-4,0.0673076923076923,7.157368112840608E-4,6.2811558460417025,6.555198402202752
dollar,8,8.707267518357023E-4,0.019230769230769232,7.542950233397677E-4,4.4650526126421175,4.6721437540132955
nieuwe,7,0.01370414085997272,0.04807692307692308,0.01149034719260068,1.8107326809628255,2.064922175371115
ford,6,4.2777702975143055E-4,0.057692307692307696,0.002494234342353545,7.075376145623317,4.531710049280384
economie,6,0.0014954907429288158,0.057692307692307696,0.0014772614993842736,5.26968808702362,5.28738183797629
einde,5,0.0015617551543416323,0.04807692307692308,0.0014844911641447185,4.944104370095716,5.017304155138375
japan,5,0.0011093612053971228,0.028846153846153848,6.338006106656834E-4,4.700577887143798,5.508206112374769
wordt,5,0.008886965867686794,0.019230769230769232,0.008786452572194228,1.11365361932158,1.1300637549067796
financiële,5,8.62314680916474E-4,0.04807692307692308,0.0014290637343146399,5.800986314183789,5.0722024012872735
bereikt,4,4.2720934398387525E-4,0.038461538461538464,3.3738435548743607E-4,6.492329459205516,6.832879584000947
dieptepunt,4,1.2881306143799862E-4,0.038461538461538464,2.3134927233424185E-4,8.22199377357356,7.3772001002247585
onder,4,0.00639642518982767,0.038461538461538464,0.006538026831695814,2.5880787241900167,2.5564892686640475
europa,4,0.0034550904047326,0.038461538461538464,0.0017929568605903744,3.476621106340737,4.423003789837882
weer,4,0.015393367273029038,0.038461538461538464,0.014700318346238285,1.3211076183477815,1.3875690736083026
eerste,4,0.00965808957121507,0.038461538461538464,0.008858749219798678,1.993606723082019,2.1182415496568785
huidige,4,2.4379523326646855E-4,0.038461538461538464,2.2893938408076017E-4,7.30160274303865,7.392306992614966
werkloosheid,4,6.838549187159134E-4,0.038461538461538464,0.0012531418918104767,5.813582374674498,4.939794787917458
telegraaf,4,0.001159678807521341,0.038461538461538464,0.0023930190357073144,5.05161928441041,4.006512693417541
schmidt,4,3.305995479053763E-4,0.019230769230769232,3.108755846991375E-4,5.862187909661125,5.95093534552266
alleen,4,0.0026244113034080705,0.009615384615384616,0.0027063045086599333,1.8733507265625695,1.829020388545314
haven,3,0.0013860822131817978,0.028846153846153848,8.073125649163648E-4,4.379294236150813,5.159107816321936
treft,3,2.908615441765065E-4,0.028846153846153848,2.602679313760221E-4,6.631902596847326,6.792237599503603
toerisme,3,4.166297455885268E-4,0.028846153846153848,4.98846868470709E-4,6.113469316795391,5.853638144167745
voorbij,3,5.77955719168328E-4,0.028846153846153848,5.398149687798977E-4,5.641276199132737,5.739770179609466
doet,3,0.0016592422829699895,0.028846153846153848,0.0014917208289051637,4.119782502878416,4.273329502452806
sterk,3,0.001566348248279125,0.019230769230769232,0.0017375294307602957,3.6179395619318013,3.468307151705093
duitsland,3,0.007493245700541526,0.028846153846153848,0.006147624934631781,1.9447163095989701,2.2302779180645986
landen,3,0.0013006713090632528,0.028846153846153848,0.0010579409432784602,4.471050640695062,4.769047972131713
amerikaanse,3,0.0030912554355267147,0.028846153846153848,0.0022604751817658216,3.222114195853613,3.673680989151694
laatste,3,0.004716023710066983,0.028846153846153848,0.0030509185289078144,2.612736095678067,3.24106341223873
westduitse,3,7.182773193485837E-4,0.028846153846153848,7.036873700166523E-4,5.3276942010836175,5.357300542787054
toe,3,0.004030517341845455,0.028846153846153848,0.0028581274686292797,2.839342037766216,3.335236807121068
philips,3,0.0012006553983794222,0.028846153846153848,0.0012724209978383302,4.586484926512354,4.502730982308617
snelle,3,6.154229798269766E-4,0.028846153846153848,5.783731808356046E-4,5.550656847376728,5.640234506058554
tijdens,3,0.004480950194502046,0.028846153846153848,0.004723380976824104,2.6865023761331743,2.6104871626644996
den,3,0.009000709452386053,0.028846153846153848,0.010678214851177351,1.6802683454553895,1.4337084901811252
uyl,3,5.026083354746268E-4,0.028846153846153848,0.0021303412160778106,5.842800564432257,3.75922254227564
amerika,3,0.0025148995580669517,0.019230769230769232,0.001819465631378673,2.9348437847694653,3.4018297667334734
west,3,0.003394812497777639,0.028846153846153848,0.002400248700467759,3.0869751734780584,3.58712316959899
vooral,3,8.596826832668995E-4,0.019230769230769232,8.338213357046634E-4,4.483468415261428,4.52753437330919
onze,3,0.025506689222026393,0.028846153846153848,0.027332952570989284,0.17750332362775811,0.07773766070272536
hele,3,7.46351960944045E-4,0.009615384615384616,7.253763642979875E-4,3.6874165315131444,3.728542924186212
wereld,3,0.002495185379593668,0.009615384615384616,0.0018773029494622334,1.9461975620665664,2.3566830828842447
