ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
beatrix,1027,6.438588760017912E-4,0.997,0.002403541509161863,10.596633282938857,8.696287975363886
prinses,545,0.0013612588628005168,0.46,0.0028929899619366426,8.400548608961437,7.312928733514868
claus,265,3.5000407959635685E-4,0.256,0.0012607667734421772,9.514556356889381,7.665698580732229
huwelijk,151,0.003753589902872578,0.15,0.004691276018336837,5.320547652849957,4.998838304014818
amsberg,102,2.833268058071364E-5,0.099,8.412395282066522E-4,11.770745706989224,6.878768073875057
von,102,4.596706483286273E-4,0.098,0.0012476565470285672,7.736037391322211,6.295488998130076
verloving,93,6.44581385160498E-5,0.092,5.63739735785237E-4,10.479055620363868,7.35046079001147
bezoek,85,0.006189787570437547,0.082,0.005519405320129879,3.7276621067028057,3.8930391702082416
amsterdam,53,0.011123492968463456,0.052,0.010418259923348876,2.224901732945394,2.319397287056642
verloofde,49,5.28205802811665E-4,0.049,0.001127479471570474,6.535537788119249,5.441608678069666
koningin,46,0.0016886587272887633,0.04,0.00241228166010427,4.566050301500103,4.051529727486904
foto,43,0.0032760113489674336,0.04,0.003961473414645871,3.6099877400236204,3.3358909745209155
prins,38,0.002592311253642672,0.037,0.0038238160373029644,3.835214415489843,3.274440248286971
tijdens,33,0.004480950194502046,0.032,0.004190902376884049,2.836195308891023,2.9327390843595804
west,25,0.003394812497777639,0.025,0.0035179107543187272,2.8805242960106314,2.8291373061504546
heer,25,0.008636719659789016,0.024,0.008619973866948683,1.4744790389319338,1.4772790051980467
bernhard,22,6.675468548479616E-4,0.022,0.0010378929244108045,5.042490610980008,4.405774004796698
paar,22,7.274635072235692E-4,0.02,0.0011974006791097282,4.780981311881763,4.062022101304547
juliana,21,5.422431236093957E-4,0.018,6.7080658482972E-4,5.052913243678832,4.745956245449845
terug,18,0.004759529082980538,0.018,0.004118796131609193,1.919106163887581,2.1277022826639964
pvda,18,0.0018487977215364034,0.017,0.0012542116602353723,3.2008754543125546,3.760682003952364
londen,16,0.0020827874733632804,0.013,0.0018966127545022703,2.6419240831636577,2.7770145750743227
den,16,0.009000709452386053,0.016,0.007308951225587666,0.8299612782132373,1.130335593848887
margriet,16,6.064432231401931E-4,0.014,8.128340376438301E-4,4.528910434300513,4.106322200327283
onder,16,0.00639642518982767,0.016,0.006365014923807734,1.3227341576690215,1.329836103237362
kamer,16,0.003551596985216998,0.016,0.002899545075143448,2.1715321177534532,2.4641734340075176
maart,15,0.003984792833658729,0.015,0.0030961984713476004,1.9123858740583355,2.2763926420682097
suriname,15,0.0012786863875197483,0.014,9.92007131963169E-4,3.452692451934541,3.8189325241444
radio,15,0.008609677174134564,0.014,0.006815132697341683,0.701395778280621,1.0386131740611617
goedkeuringswet,15,4.438270546341298E-6,0.015,1.769880565837372E-4,11.722677266821233,6.405166682101603
paleis,15,3.03815101236177E-4,0.015,4.5011777353394896E-4,5.625625109210583,5.058516157803011
gisteren,15,0.002076181675340819,0.015,0.0019665339620415245,2.8529579040103386,2.931235493769192
duitsland,14,0.007493245700541526,0.014,0.007752513885914809,0.9017641644144216,0.8526907171342497
aruba,14,0.0020421205292875024,0.014,0.0028230687543973885,2.777286903112352,2.310090656741388
reis,14,0.0010304528837069384,0.014,0.001297912414947406,3.76407638127199,3.431161890634548
gistermiddag,14,3.2843202042925614E-4,0.012,6.271058301176862E-4,5.19129580630492,4.258181663423178
foto's,13,4.933189320055404E-4,0.013,6.729916225653217E-4,4.719847158604208,4.271779266823901
rotterdam,13,0.00622880306500771,0.013,0.006511412452093047,1.0614847584359994,0.9974691921692793
duitse,13,0.0028544788626591114,0.013,0.0037713751316485237,2.1872123388872735,1.7853490583398477
maastricht,13,0.002448531931060034,0.013,0.002617675207250829,2.4085227079299925,2.3121536147300175
dinsdag,13,0.00581717927573308,0.012,0.00574009413142565,1.0446427344226494,1.0638881049652342
wenen,12,5.094721724823408E-4,0.012,5.681098112564404E-4,4.557887247486551,4.400720777070413
trouwt,12,9.031364483834039E-5,0.012,1.5513767922772025E-4,7.053874719916278,6.273341470594184
