ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
luns,69,5.348116008341265E-4,0.2197452229299363,3.7709818349045756E-4,8.682585327531383,9.18667588650725
nsb,29,3.127432501259101E-5,0.09235668789808917,6.66819958611175E-5,11.528021973339893,10.435703434347166
navo,13,8.22008991420049E-4,0.041401273885350316,0.0011657852379857439,5.654377174105862,5.150301215484918
lid,10,0.0016448437075929055,0.03184713375796178,0.0019038859507932858,4.275141124504554,4.064144571735204
lidmaatschap,8,1.0429935783902053E-4,0.025477707006369428,1.1956771671648655E-4,7.932361355305537,7.735263716206073
kamer,8,0.003551596985216998,0.025477707006369428,0.004394113589330881,2.842695653523914,2.5355913713697094
jong,8,0.004836321484991653,0.025477707006369428,0.00541733731892389,2.397253387670691,2.2335796105167054
broer,7,0.005210736052592886,0.022292993630573247,0.007236146240515061,2.0970312802529314,1.623296893106346
aftreden,6,3.1109180062029477E-4,0.01910828025477707,3.7020004598758337E-4,5.940713760808605,5.689749056953706
agt,5,3.595515220506957E-4,0.01592356687898089,0.0014348126005978385,5.4688212086186745,3.472229310372281
onderzoek,5,0.0026605367613434065,0.01592356687898089,0.003037479880432283,2.5813742928984915,2.3902167779877015
zaterdag,5,0.008162650436083305,0.01592356687898089,0.008146700390894459,0.9640539551606038,0.966875779116215
den,5,0.009000709452386053,0.01592356687898089,0.009547022303977927,0.8230529088710608,0.7380408008766484
nederland,5,0.012340095176131476,0.01592356687898089,0.012299379167624741,0.3678100140867464,0.37257804088837787
aantjes,5,1.0393810325966715E-4,0.01592356687898089,5.725454127385606E-4,7.25929508856585,4.797629597166447
kwestie,5,8.911634394676924E-4,0.01592356687898089,5.978385835824328E-4,4.159329679111181,4.735263716206076
cijfers,5,0.0015767214154862716,0.0031847133757961785,0.0014348126005978385,1.0142357570627603,1.1503012154849195
brieven,4,9.817351232912852E-4,0.012738853503184714,0.0011565877213152449,3.6977577994585413,3.46128884454164
oorlog,4,0.0013720965001811176,0.012738853503184714,0.00102322372959301,3.2147815852823936,3.638041908493408
consequenties,4,7.483130572319631E-5,0.012738853503184714,8.047827086686595E-5,7.411377776782979,7.306420417402201
jaren,4,0.0023163643628137543,0.012738853503184714,0.0023315704759714877,2.4593013294731225,2.449861497343827
regering,4,0.0031331609667317045,0.012738853503184714,0.0034421706139342377,2.023544645429464,1.8878449282887502
verleden,4,4.7185008843254065E-4,0.012738853503184714,3.610025293170844E-4,4.754763057146885,5.14108268545554
week,4,0.0031022995040955173,0.012738853503184714,0.0025316164635548403,2.0378255611259988,2.331104680782797
gesprek,4,0.0016008738645058964,0.012738853503184714,0.0021039319383766384,2.9923038957618218,2.598075501175762
prof,4,0.0023136291495700788,0.012738853503184714,0.0016463554840193148,2.4610059016419275,2.951887657082912
joseph,4,9.751809330658742E-4,0.012738853503184714,9.013566337088986E-4,3.7074217122881166,3.820993590231959
joden,4,4.555420245645889E-4,0.012738853503184714,3.2881122097033804E-4,4.80550747929945,5.275832097568777
affaire,4,4.4005968544944484E-4,0.012738853503184714,3.656012876523339E-4,4.855392420402795,5.122820479062812
cda,4,0.0011299527164202643,0.012738853503184714,0.0031018624971257762,3.4949011323452606,2.038028801398898
lagerhuis,4,1.479079463466763E-4,0.012738853503184714,6.898137502874224E-5,6.428392067423127,7.52881283873865
amateurvoetbal,4,2.7383097114984807E-4,0.012738853503184714,4.2078638767532764E-4,5.539806001456579,4.920003596063124
feiten,4,5.775428567919241E-4,0.012738853503184714,6.208323752586801E-4,4.463163624411228,4.358887837296336
jan,4,0.011450067108198894,0.012738853503184714,0.014559668889399862,0.15387938698166348,-0.19274210579001405
poel,4,3.420048710535324E-4,0.012738853503184714,7.495976086456656E-4,5.219074757608842,4.086975280116089
