ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
recessie,104,8.195318171616259E-5,0.104,2.5062837836209537E-4,10.309495946912946,8.696818034424922
economie,48,0.0014954907429288158,0.048,0.0014772614993842736,5.0043435205026245,5.022037271455295
herstel,42,8.691785179241879E-4,0.042,0.0011013189318411305,5.594592999459893,5.25308510214561
jaar,41,0.02770621353231786,0.037,0.02948739266960191,0.4173157122647879,0.3274270084956674
verwacht,27,0.002326995569006153,0.027,0.0017929568605903744,3.536419038553399,3.9125467254803556
miljoen,26,0.0037375914857869287,0.025,0.004007644165540044,2.7417472968918686,2.6411017709123756
financiële,24,8.62314680916474E-4,0.024,0.0014290637343146399,4.798676153496588,4.069892240600073
economische,23,8.654627565365532E-4,0.022,7.157368112840608E-4,4.667887976100402,4.941930532261451
werkloosheid,23,6.838549187159134E-4,0.023,0.0012531418918104767,5.071799764210516,4.198012177453476
ford,22,4.2777702975143055E-4,0.022,0.002494234342353545,5.684500697018463,3.1408346006755297
japan,21,0.0011093612053971228,0.017,6.338006106656834E-4,3.937733661151987,4.745361886382958
verlies,21,0.0026741612197647333,0.021,0.0027207638381808235,2.97323097756301,2.94830568643068
winst,21,0.0027425931586536703,0.021,0.0033449248958325804,2.9367767967737963,2.6503436046254203
duitsland,20,0.007493245700541526,0.02,0.006147624934631781,1.4163373372441814,1.70189894570981
telegraaf,19,0.001159678807521341,0.019,0.0023930190357073144,4.034202231333001,2.989095640340132
minder,18,0.002430056339715962,0.018,0.0028292088095874996,2.8889352390159537,2.6695263427571803
nederland,17,0.012340095176131476,0.017,0.011304785797082589,0.4621812246792638,0.5886010901792789
nieuwe,16,0.01370414085997272,0.014,0.01149034719260068,0.030814941612071323,0.28500443602036096
miljard,14,7.849029853407536E-4,0.014,0.0010627607197854236,4.156768670223729,3.7195381109250016
wereld,14,0.002495185379593668,0.012,0.0018773029494622334,2.265815496266727,2.6763010170844055
landen,13,0.0013006713090632528,0.013,0.0010579409432784602,3.3211832915940027,3.619180623030654
regering,13,0.0031331609667317045,0.013,0.0034413204259718475,2.052820827800095,1.9174774885369112
goed,13,0.004434554784953664,0.012,0.004152237460748945,1.4361732308692945,1.5310735489211282
olie,13,0.0011983846553092013,0.013,0.0017013811069580703,3.4393486620714517,2.9337333792948312
ziet,12,0.0013473247575968871,0.012,0.0012844704391057388,3.1548648624647555,3.2237888123869
weer,12,0.015393367273029038,0.012,0.014700318346238285,-0.35927444745205683,-0.29281299219153567
resultaten,12,6.364789610235726E-4,0.012,4.2896010911974014E-4,4.236777769350876,4.806047104179678
dollar,12,8.707267518357023E-4,0.0060,7.542950233397677E-4,2.7846705468422774,2.9917616882134555
procent,12,0.001398571300068014,0.012,0.0014724417228773102,3.101008695507373,3.026751965327346
groei,12,7.372173808661099E-4,0.012,6.289808341587201E-4,4.024800510812234,4.253874538576191
amerikaanse,11,0.0030912554355267147,0.011,0.0022604751817658216,1.8312387472487588,2.28280554054684
minister,11,0.0049772107709394635,0.011,0.00441732516863193,1.1440941362334547,1.3162585825223312
oeso,11,8.995239025898701E-5,0.011,1.6146251298327296E-4,6.934126190426425,6.090160462604444
west,11,0.003394812497777639,0.011,0.002400248700467759,1.6960997248732044,2.196247720994136
situatie,11,6.654309351688919E-4,0.011,7.663444646071762E-4,4.04707077640317,3.8433666977778627
toekomst,11,0.0014352644437709053,0.011,0.001282060550852257,2.938115044406408,3.1009672175610286
kort,11,0.004231374887965923,0.011,0.0038558212055706978,1.378305108539875,1.5123934632874922
somber,11,2.9019064281485024E-4,0.011,4.795677624428555E-4,5.244358713011306,4.519625032518568
imf,11,1.3185792146397696E-4,0.011,1.3495374219497442E-4,6.382375468727127,6.348894731004614
haven,10,0.0013860822131817978,0.01,8.073125649163648E-4,2.8509152637960247,3.6307288439671472
moeilijkheden,10,8.280987114720055E-4,0.01,7.711642411141396E-4,3.594053438882306,3.6968180344249193
onder,10,0.00639642518982767,0.01,0.006538026831695814,0.644662252556385,0.6130727970304157
amerika,10,0.0025148995580669517,0.0090,0.001819465631378673,1.8394242196907822,2.3064102016547903
grote,10,0.012067915654487244,0.0090,0.01103487831269264,-0.42317961174115837,-0.2940738138063157
ondanks,10,0.0010668363806275272,0.01,9.037080950556322E-4,3.2285891661082493,3.467999343929038
werklozen,10,3.672926916082677E-4,0.01,6.964577052562073E-4,4.766926000172371,3.8438204468116046
produktie,10,4.921319526733793E-4,0.01,6.844082639887989E-4,4.344811000340015,3.8689990098075997
lagere,10,6.434460136253874E-4,0.01,6.747687109748721E-4,3.9580370811768075,3.8894631123673156
eeg,10,8.334659223652555E-4,0.01,0.001559197700002651,3.584732976333526,2.681124227319775
toerisme,9,4.166297455885268E-4,0.0090,4.98846868470709E-4,4.433087250995552,4.173256078367906
inflatie,9,2.8559754887735753E-4,0.0090,4.819776506963372E-4,4.977869498747172,4.222886846092507
economisch,9,3.7735621203311136E-4,0.0090,2.7231737264343055E-4,4.5759260722990565,5.0465640734520445
den,9,0.009000709452386053,0.0090,0.010678214851177351,-1.1372034444967483E-4,-0.24667357561871395
uyl,9,5.026083354746268E-4,0.0090,0.0021303412160778106,4.162418498632418,2.0788404764758006
vooral,9,8.596826832668995E-4,0.0080,8.338213357046634E-4,3.218123848740432,3.262189806788194
opleving,9,9.397779842892448E-5,0.0090,1.4700318346238286E-4,6.581461220380286,5.936005698304346
